#1 Tower made by automatic script on 23-Nov-2021
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 11
0.000	1.0315E+04	0.0000E+00	0.0000E+00	3.5216E+00	3.5216E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5327E+01	1.5327E+01	3.0654E+01	5.0592E-01	5.0592E-01	1.2359E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	1.0315E+04	0.0000E+00	0.0000E+00	3.5216E+00	3.5216E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5327E+01	1.5327E+01	3.0654E+01	5.0592E-01	5.0592E-01	1.2359E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	8.6675E+03	0.0000E+00	0.0000E+00	3.4976E+00	3.4976E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.2704E+01	1.2704E+01	2.5408E+01	5.0505E-01	5.0505E-01	1.0385E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	8.4228E+03	0.0000E+00	0.0000E+00	3.3266E+00	3.3266E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.1168E+01	1.1168E+01	2.2335E+01	5.0542E-01	5.0542E-01	1.0092E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.000	6.9800E+03	0.0000E+00	0.0000E+00	3.1123E+00	3.1123E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	8.1009E+00	8.1009E+00	1.6202E+01	5.0514E-01	5.0514E-01	8.3633E-01	0.0000E+00	0.0000E+00	0.0000E+00
65.000	6.6369E+03	0.0000E+00	0.0000E+00	2.8708E+00	2.8708E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.5539E+00	6.5539E+00	1.3108E+01	5.0574E-01	5.0574E-01	7.9522E-01	0.0000E+00	0.0000E+00	0.0000E+00
78.000	5.2179E+03	0.0000E+00	0.0000E+00	2.6032E+00	2.6032E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	4.2368E+00	4.2368E+00	8.4736E+00	5.0549E-01	5.0549E-01	6.2520E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.000	4.9435E+03	0.0000E+00	0.0000E+00	2.4330E+00	2.4330E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.5063E+00	3.5063E+00	7.0127E+00	5.0595E-01	5.0595E-01	5.9232E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.000	3.6372E+03	0.0000E+00	0.0000E+00	2.3785E+00	2.3785E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.4654E+00	2.4654E+00	4.9308E+00	5.0458E-01	5.0458E-01	4.3580E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.000	3.6126E+03	0.0000E+00	0.0000E+00	2.3161E+00	2.3161E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.3220E+00	2.3220E+00	4.6440E+00	5.0480E-01	5.0480E-01	4.3285E-01	0.0000E+00	0.0000E+00	0.0000E+00
129.386	4.5764E+03	0.0000E+00	0.0000E+00	2.2886E+00	2.2886E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.8719E+00	2.8719E+00	5.7439E+00	5.0622E-01	5.0622E-01	5.4833E-01	0.0000E+00	0.0000E+00	0.0000E+00
