#1 Tower made by automatic script on 15-Jun-2021
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 20
0.000	2.6327E+04	0.0000E+00	0.0000E+00	3.4973E+00	3.4973E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	4.1285E+01	4.1285E+01	8.2570E+01	5.1629E-01	5.1629E-01	3.3753E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	2.6349E+04	0.0000E+00	0.0000E+00	3.4973E+00	3.4973E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	4.1318E+01	4.1318E+01	8.2636E+01	5.1631E-01	5.1631E-01	3.3781E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.001	2.3145E+04	0.0000E+00	0.0000E+00	3.5020E+00	3.5020E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.6391E+01	3.6391E+01	7.2783E+01	5.1430E-01	5.1430E-01	2.9674E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	2.3144E+04	0.0000E+00	0.0000E+00	3.5020E+00	3.5020E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.6389E+01	3.6389E+01	7.2778E+01	5.1430E-01	5.1430E-01	2.9672E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.001	1.9712E+04	0.0000E+00	0.0000E+00	3.5070E+00	3.5070E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.1082E+01	3.1082E+01	6.2164E+01	5.1217E-01	5.1217E-01	2.5272E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	1.9705E+04	0.0000E+00	0.0000E+00	3.5070E+00	3.5070E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.1070E+01	3.1070E+01	6.2141E+01	5.1216E-01	5.1216E-01	2.5263E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.001	1.6396E+04	0.0000E+00	0.0000E+00	3.5118E+00	3.5118E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.5924E+01	2.5924E+01	5.1848E+01	5.1010E-01	5.1010E-01	2.1020E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.000	1.6398E+04	0.0000E+00	0.0000E+00	3.5118E+00	3.5118E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.5927E+01	2.5927E+01	5.1854E+01	5.1011E-01	5.1011E-01	2.1023E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.001	1.2986E+04	0.0000E+00	0.0000E+00	3.5167E+00	3.5167E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.0590E+01	2.0590E+01	4.1181E+01	5.0799E-01	5.0799E-01	1.6649E+00	0.0000E+00	0.0000E+00	0.0000E+00
65.000	1.2991E+04	0.0000E+00	0.0000E+00	3.5167E+00	3.5167E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.0598E+01	2.0598E+01	4.1195E+01	5.0799E-01	5.0799E-01	1.6655E+00	0.0000E+00	0.0000E+00	0.0000E+00
65.001	9.7445E+03	0.0000E+00	0.0000E+00	3.5214E+00	3.5214E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5492E+01	1.5492E+01	3.0984E+01	5.0599E-01	5.0599E-01	1.2493E+00	0.0000E+00	0.0000E+00	0.0000E+00
78.000	9.7601E+03	0.0000E+00	0.0000E+00	3.5214E+00	3.5214E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5517E+01	1.5517E+01	3.1033E+01	5.0600E-01	5.0600E-01	1.2513E+00	0.0000E+00	0.0000E+00	0.0000E+00
78.001	6.6884E+03	0.0000E+00	0.0000E+00	3.5259E+00	3.5259E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.0660E+01	1.0660E+01	2.1320E+01	5.0411E-01	5.0411E-01	8.5748E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.000	6.6860E+03	0.0000E+00	0.0000E+00	3.5259E+00	3.5259E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.0656E+01	1.0656E+01	2.1313E+01	5.0410E-01	5.0410E-01	8.5718E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.001	4.0157E+03	0.0000E+00	0.0000E+00	3.5284E+00	3.5284E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.4095E+00	6.4095E+00	1.2819E+01	5.0246E-01	5.0246E-01	5.1483E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.000	4.0330E+03	0.0000E+00	0.0000E+00	3.5284E+00	3.5284E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.4371E+00	6.4371E+00	1.2874E+01	5.0247E-01	5.0247E-01	5.1706E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.001	9.9337E+02	0.0000E+00	0.0000E+00	3.5328E+00	3.5328E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5895E+00	1.5895E+00	3.1789E+00	5.0061E-01	5.0061E-01	1.2735E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.000	4.2045E+03	0.0000E+00	0.0000E+00	3.5266E+00	3.5266E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.7040E+00	6.7040E+00	1.3408E+01	5.0258E-01	5.0258E-01	5.3904E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.001	8.9873E+02	0.0000E+00	0.0000E+00	3.1614E+00	3.1614E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.1516E+00	1.1516E+00	2.3032E+00	5.0069E-01	5.0069E-01	1.1522E-01	0.0000E+00	0.0000E+00	0.0000E+00
