  12 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             2.411508             5.000012            92.419211           232.967222
             5.000000             0.464699             5.000012          1642.481170           655.206782
             7.000000             0.000535             5.000012          4649.872749          1026.432393
             9.000000             0.000535             6.390910          9635.616046          1611.615591
            11.000000             1.447661             7.559987         15535.059259          1966.331583
            13.000000             6.029673             7.559987         15535.727037          1487.367642
            15.000000             9.062070             7.559987         15534.257230          1258.918274
            17.000000            11.628771             7.559987         15537.046572          1111.293176
            19.000000            13.958913             7.559987         15535.456918          1005.838294
            21.000000            16.132220             7.559987         15536.054837           926.845485
            23.000000            18.196913             7.559987         15537.597974           865.792017
            25.000000            20.177387             7.559987         15534.485206           817.347559
