#1 Tower made by automatic script on 02-Jun-2023
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 20 Flexible
0.000	1.0315E+04	0.0000E+00	0.0000E+00	3.5216E+00	3.5216E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5327E+01	1.5327E+01	3.0654E+01	5.0592E-01	5.0592E-01	1.2359E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	1.0315E+04	0.0000E+00	0.0000E+00	3.5216E+00	3.5216E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.5327E+01	1.5327E+01	3.0654E+01	5.0592E-01	5.0592E-01	1.2359E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.001	9.5238E+03	0.0000E+00	0.0000E+00	3.5227E+00	3.5227E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.4160E+01	1.4160E+01	2.8321E+01	5.0547E-01	5.0547E-01	1.1411E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	9.4531E+03	0.0000E+00	0.0000E+00	3.4965E+00	3.4965E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.3847E+01	1.3847E+01	2.7695E+01	5.0551E-01	5.0551E-01	1.1326E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.001	8.7613E+03	0.0000E+00	0.0000E+00	3.4974E+00	3.4974E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.2841E+01	1.2841E+01	2.5682E+01	5.0510E-01	5.0510E-01	1.0498E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	8.3335E+03	0.0000E+00	0.0000E+00	3.3267E+00	3.3267E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.1050E+01	1.1050E+01	2.2101E+01	5.0537E-01	5.0537E-01	9.9851E-01	0.0000E+00	0.0000E+00	0.0000E+00
39.001	7.9433E+03	0.0000E+00	0.0000E+00	3.3272E+00	3.3272E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.0536E+01	1.0536E+01	2.1073E+01	5.0511E-01	5.0511E-01	9.5175E-01	0.0000E+00	0.0000E+00	0.0000E+00
52.000	7.4285E+03	0.0000E+00	0.0000E+00	3.1116E+00	3.1116E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	8.6175E+00	8.6175E+00	1.7235E+01	5.0547E-01	5.0547E-01	8.9006E-01	0.0000E+00	0.0000E+00	0.0000E+00
52.001	7.0872E+03	0.0000E+00	0.0000E+00	3.1121E+00	3.1121E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	8.2244E+00	8.2244E+00	1.6449E+01	5.0521E-01	5.0521E-01	8.4917E-01	0.0000E+00	0.0000E+00	0.0000E+00
65.000	6.5381E+03	0.0000E+00	0.0000E+00	2.8710E+00	2.8710E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.4570E+00	6.4570E+00	1.2914E+01	5.0565E-01	5.0565E-01	7.8338E-01	0.0000E+00	0.0000E+00	0.0000E+00
65.001	6.1972E+03	0.0000E+00	0.0000E+00	2.8715E+00	2.8715E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.1227E+00	6.1227E+00	1.2245E+01	5.0536E-01	5.0536E-01	7.4253E-01	0.0000E+00	0.0000E+00	0.0000E+00
78.000	5.6165E+03	0.0000E+00	0.0000E+00	2.6025E+00	2.6025E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	4.5579E+00	4.5579E+00	9.1158E+00	5.0591E-01	5.0591E-01	6.7296E-01	0.0000E+00	0.0000E+00	0.0000E+00
78.001	5.2535E+03	0.0000E+00	0.0000E+00	2.6032E+00	2.6032E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	4.2655E+00	4.2655E+00	8.5310E+00	5.0552E-01	5.0552E-01	6.2946E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.000	4.9103E+03	0.0000E+00	0.0000E+00	2.4331E+00	2.4331E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.4829E+00	3.4829E+00	6.9659E+00	5.0591E-01	5.0591E-01	5.8834E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.001	4.3342E+03	0.0000E+00	0.0000E+00	2.4342E+00	2.4342E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0772E+00	3.0772E+00	6.1543E+00	5.0521E-01	5.0521E-01	5.1931E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.000	4.2328E+03	0.0000E+00	0.0000E+00	2.3773E+00	2.3773E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.8663E+00	2.8663E+00	5.7326E+00	5.0534E-01	5.0534E-01	5.0717E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.001	3.6734E+03	0.0000E+00	0.0000E+00	2.3784E+00	2.3784E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.4898E+00	2.4898E+00	4.9796E+00	5.0463E-01	5.0463E-01	4.4014E-01	0.0000E+00	0.0000E+00	0.0000E+00
