  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             2.411508             5.000012            92.419211           232.967222
             3.500000             2.077465             5.000012           351.152367           319.881083
             4.000000             1.640432             5.000012           689.349019           419.438612
             4.500000             1.103679             5.000012          1116.528019           531.177564
             5.000000             0.464699             5.000012          1642.481170           655.206782
             5.500000             0.000623             5.000012          2273.354883           771.969700
             6.000000             0.000546             5.000012          2990.810140           857.820260
             6.500000             0.000535             5.000012          3784.405343           942.815794
             7.000000             0.000535             5.000012          4649.872749          1026.432393
             7.500000             0.000535             5.326943          5685.153980          1161.293667
             8.000000             0.000535             5.681156          6861.518817          1306.238488
             8.500000             0.000535             6.035763          8177.308751          1456.562802
             9.000000             0.000535             6.390910          9635.616046          1611.615591
             9.500000             0.000535             6.746678         11238.337164          1770.736037
            10.000000             0.000535             7.103116         12986.170813          1933.262629
            10.500000             0.000673             7.460243         14878.605256          2098.515450
            11.000000             1.447661             7.559987         15535.059259          1966.331583
            11.500000             2.949847             7.559987         15537.544191          1790.880920
            12.000000             4.126439             7.559987         15535.161573          1665.730220
            12.500000             5.130374             7.559987         15537.001674          1568.199938
            13.000000             6.029673             7.559987         15535.727037          1487.367642
            13.500000             6.856125             7.559987         15537.632221          1418.780848
            14.000000             7.629625             7.559987         15537.556355          1359.007159
            14.500000             8.362134             7.559987         15534.754397          1306.055175
            15.000000             9.062070             7.559987         15534.257230          1258.918274
            15.500000             9.731490             7.559987         15540.268773          1217.072337
            16.000000            10.383947             7.559987         15537.699842          1178.395102
            16.500000            11.015440             7.559987         15534.383967          1143.144034
            17.000000            11.628771             7.559987         15537.046572          1111.293176
            17.500000            12.229474             7.559987         15537.934012          1081.855649
            18.000000            12.813351             7.559987         15546.121197          1055.169129
            18.500000            13.393260             7.559987         15537.255665          1029.365767
            19.000000            13.958913             7.559987         15535.456918          1005.838294
            19.500000            14.514591             7.559987         15536.112150           984.065804
            20.000000            15.061685             7.559987         15535.551997           963.680729
            20.500000            15.600463             7.559987         15534.945071           944.617188
            21.000000            16.132220             7.559987         15536.054837           926.845485
            21.500000            16.657435             7.559987         15533.183539           909.988484
            22.000000            17.176226             7.559987         15537.149725           894.469849
            22.500000            17.688692             7.559987         15538.944191           879.783924
            23.000000            18.196913             7.559987         15537.597974           865.792017
            23.500000            18.698870             7.559987         15538.378430           852.701384
            24.000000            19.195353             7.559987         15540.224791           840.400733
            24.500000            19.688043             7.559987         15538.811856           828.621704
            25.000000            20.177387             7.559987         15534.485206           817.347559
