  12 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             2.419413             5.000012            92.255265           232.941378
             5.000000             0.471186             5.000012          1642.422597           655.112606
             7.000000             0.000535             5.000012          4649.640391          1026.364579
             9.000000             0.000535             6.390986          9633.220169          1610.820127
            11.000000             1.440484             7.559987         15536.347732          1966.474866
            13.000000             6.037981             7.559987         15535.802090          1487.213178
            15.000000             9.074013             7.559987         15536.443547          1259.008885
            17.000000            11.645640             7.559987         15534.517428          1110.995887
            19.000000            13.975185             7.559987         15537.999424          1005.902721
            21.000000            16.149593             7.559987         15533.522138           926.656980
            23.000000            18.214566             7.559987         15533.472360           865.531373
            25.000000            20.195979             7.559987         15534.162388           817.250066
