  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             2.419413             5.000012            92.255265           232.941378
             3.500000             2.084865             5.000012           351.018925           319.865094
             4.000000             1.648406             5.000012           689.242102           419.297217
             4.500000             1.107136             5.000012          1116.615058           531.375288
             5.000000             0.471186             5.000012          1642.422597           655.112606
             5.500000             0.000624             5.000012          2273.323003           772.152039
             6.000000             0.000546             5.000012          2990.826612           857.929971
             6.500000             0.000535             5.000012          3784.356426           942.841175
             7.000000             0.000535             5.000012          4649.640391          1026.364579
             7.500000             0.000535             5.327068          5684.714895          1161.141608
             8.000000             0.000535             5.681275          6860.688806          1305.934986
             8.500000             0.000535             6.035867          8175.859021          1456.048241
             9.000000             0.000535             6.390986          9633.220169          1610.820127
             9.500000             0.000535             6.746712         11234.572293          1769.581910
            10.000000             0.000535             7.103092         12980.486998          1931.664811
            10.500000             0.000673             7.460140         14870.353428          2096.386422
            11.000000             1.440484             7.559987         15536.347732          1966.474866
            11.500000             2.948675             7.559987         15536.852720          1790.788478
            12.000000             4.126182             7.559987         15539.838616          1666.239632
            12.500000             5.136281             7.559987         15535.215331          1567.905453
            13.000000             6.037981             7.559987         15535.802090          1487.213178
            13.500000             6.866461             7.559987         15535.569449          1418.452384
            14.000000             7.640510             7.559987         15538.207043          1358.945456
            14.500000             8.374700             7.559987         15534.717964          1305.895753
            15.000000             9.074013             7.559987         15536.443547          1259.008885
            15.500000             9.748400             7.559987         15532.456423          1216.330562
            16.000000            10.396631             7.559987         15540.296645          1178.503779
            16.500000            11.030920             7.559987         15535.968201          1143.119245
            17.000000            11.645640             7.559987         15534.517428          1110.995887
            17.500000            12.246350             7.559987         15534.076662          1081.492422
            18.000000            12.833044             7.559987         15537.932646          1054.547399
            18.500000            13.409364             7.559987         15536.185551          1029.233399
            19.000000            13.975185             7.559987         15537.999424          1005.902721
            19.500000            14.531219             7.559987         15537.958502           984.092131
            20.000000            15.078442             7.559987         15538.507132           963.763017
            20.500000            15.617703             7.559987         15534.176098           944.509593
            21.000000            16.149593             7.559987         15533.522138           926.656980
            21.500000            16.674280             7.559987         15538.236767           910.166751
            22.000000            17.193961             7.559987         15538.053913           894.431028
            22.500000            17.706879             7.559987         15538.155848           879.666778
            23.000000            18.214566             7.559987         15533.472360           865.531373
            23.500000            18.716582             7.559987         15537.651304           852.602216
            24.000000            19.213443             7.559987         15536.742839           840.179334
            24.500000            19.707047             7.559987         15539.024793           828.536979
            25.000000            20.195979             7.559987         15534.162388           817.250066
