  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             3.698238             5.000012            58.074081           223.875802
             3.500000             3.373473             5.000012           313.216380           310.104573
             4.000000             2.929897             5.000012           646.668534           409.026389
             4.500000             2.381600             5.000012          1068.275076           519.928012
             5.000000             1.702537             5.000012          1587.229805           644.177197
             5.500000             0.980165             5.000012          2212.203144           775.730070
             6.000000             0.191721             5.000012          2947.699183           914.800032
             6.500000             0.000535             5.000012          3781.885560          1013.578108
             7.000000             0.000535             5.012041          4689.403153          1099.719963
             7.500000             0.000535             5.369556          5784.229695          1264.275063
             8.000000             0.000535             5.726981          7039.781706          1440.165303
             8.500000             0.000535             6.085364          8467.690056          1627.457981
             9.000000             0.000535             6.445070         10079.388990          1826.030451
             9.500000             0.000535             6.806509         11886.208781          2035.720513
            10.000000             0.000535             7.170132         13899.322462          2256.324355
            10.500000             1.591616             7.536431         15485.364115          2231.314791
            11.000000             3.982034             7.559987         15536.022673          1936.667627
            11.500000             5.504666             7.559987         15535.948823          1765.494562
            12.000000             6.711186             7.559987         15534.602156          1642.294013
            12.500000             7.744879             7.559987         15536.265943          1545.584455
            13.000000             8.673380             7.559987         15536.085002          1465.178779
            13.500000             9.520190             7.559987         15545.891854          1397.633940
            14.000000            10.320527             7.559987         15536.377650          1337.051213
            14.500000            11.073177             7.559987         15536.069780          1284.231728
            15.000000            11.790084             7.559987         15535.875664          1237.026416
            15.500000            12.477087             7.559987         15535.434436          1194.475313
            16.000000            13.139471             7.559987         15535.583140          1155.861412
            16.500000            13.780298             7.559987         15536.013229          1120.628723
            17.000000            14.402450             7.559987         15535.896104          1088.288893
            17.500000            15.008425             7.559987         15535.943115          1058.504213
            18.000000            15.599338             7.559987         15536.585490          1031.021459
            18.500000            16.176815             7.559987         15539.592337          1005.646167
            19.000000            16.743495             7.559987         15536.116623           981.689432
            19.500000            17.298709             7.559987         15535.943412           959.518968
            20.000000            17.842884             7.559987         15536.023376           938.880944
            20.500000            18.377284             7.559987         15536.251083           919.626185
            21.000000            18.903446             7.559987         15536.069719           901.585022
            21.500000            19.424295             7.559987         15518.916955           883.882835
            22.000000            19.930901             7.559987         15535.754216           868.858907
            22.500000            20.433402             7.559987         15535.355157           853.959298
            23.000000            20.927779             7.559987         15539.327051           840.145206
            23.500000            21.417362             7.559987         15534.486260           826.739666
            24.000000            21.899853             7.559987         15531.433490           814.184784
            24.500000            22.375484             7.559987         15535.259020           802.614059
            25.000000            22.845997             7.559987         15533.861616           791.482395
