#1 Tower made by automatic script on 17-Aug-2022
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 11 Flexible
0.000	2.3385E+04	0.0000E+00	0.0000E+00	3.5039E+00	3.5039E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.4400E+01	3.4400E+01	6.8800E+01	5.1350E-01	5.1350E-01	2.8020E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	2.2627E+04	0.0000E+00	0.0000E+00	3.5049E+00	3.5049E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.3305E+01	3.3305E+01	6.6609E+01	5.1306E-01	5.1306E-01	2.7112E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	1.8147E+04	0.0000E+00	0.0000E+00	3.5110E+00	3.5110E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.6803E+01	2.6803E+01	5.3607E+01	5.1045E-01	5.1045E-01	2.1744E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	1.7345E+04	0.0000E+00	0.0000E+00	3.5121E+00	3.5121E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.5634E+01	2.5634E+01	5.1268E+01	5.0999E-01	5.0999E-01	2.0782E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.000	1.2777E+04	0.0000E+00	0.0000E+00	3.5183E+00	3.5183E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.8950E+01	1.8950E+01	3.7899E+01	5.0735E-01	5.0735E-01	1.5309E+00	0.0000E+00	0.0000E+00	0.0000E+00
65.000	1.1908E+04	0.0000E+00	0.0000E+00	3.5194E+00	3.5194E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.7673E+01	1.7673E+01	3.5345E+01	5.0684E-01	5.0684E-01	1.4268E+00	0.0000E+00	0.0000E+00	0.0000E+00
78.000	7.3544E+03	0.0000E+00	0.0000E+00	3.5256E+00	3.5256E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.0953E+01	1.0953E+01	2.1906E+01	5.0422E-01	5.0422E-01	8.8119E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.000	6.6995E+03	0.0000E+00	0.0000E+00	3.5265E+00	3.5265E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	9.9827E+00	9.9827E+00	1.9965E+01	5.0384E-01	5.0384E-01	8.0272E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.000	2.5883E+03	0.0000E+00	0.0000E+00	3.5320E+00	3.5320E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.8688E+00	3.8688E+00	7.7377E+00	5.0148E-01	5.0148E-01	3.1012E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.000	2.6039E+03	0.0000E+00	0.0000E+00	3.5320E+00	3.5320E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.8922E+00	3.8922E+00	7.7845E+00	5.0149E-01	5.0149E-01	3.1200E-01	0.0000E+00	0.0000E+00	0.0000E+00
129.386	1.0099E+03	0.0000E+00	0.0000E+00	2.2960E+00	2.2960E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.3790E-01	6.3790E-01	1.2758E+00	5.0137E-01	5.0137E-01	1.2101E-01	0.0000E+00	0.0000E+00	0.0000E+00
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$2 11 Flexible (no torsion)
0.000	2.3385E+04	0.0000E+00	0.0000E+00	3.5039E+00	3.5039E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	3.4400E+01	3.4400E+01	6.8800E+01	5.1350E-01	5.1350E-01	2.8020E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	2.2627E+04	0.0000E+00	0.0000E+00	3.5049E+00	3.5049E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	3.3305E+01	3.3305E+01	6.6609E+01	5.1306E-01	5.1306E-01	2.7112E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	1.8147E+04	0.0000E+00	0.0000E+00	3.5110E+00	3.5110E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.6803E+01	2.6803E+01	5.3607E+01	5.1045E-01	5.1045E-01	2.1744E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	1.7345E+04	0.0000E+00	0.0000E+00	3.5121E+00	3.5121E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.5634E+01	2.5634E+01	5.1268E+01	5.0999E-01	5.0999E-01	2.0782E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.000	1.2777E+04	0.0000E+00	0.0000E+00	3.5183E+00	3.5183E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.8950E+01	1.8950E+01	3.7899E+01	5.0735E-01	5.0735E-01	1.5309E+00	0.0000E+00	0.0000E+00	0.0000E+00
65.000	1.1908E+04	0.0000E+00	0.0000E+00	3.5194E+00	3.5194E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.7673E+01	1.7673E+01	3.5345E+01	5.0684E-01	5.0684E-01	1.4268E+00	0.0000E+00	0.0000E+00	0.0000E+00
78.000	7.3544E+03	0.0000E+00	0.0000E+00	3.5256E+00	3.5256E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.0953E+01	1.0953E+01	2.1906E+01	5.0422E-01	5.0422E-01	8.8119E-01	0.0000E+00	0.0000E+00	0.0000E+00
91.000	6.6995E+03	0.0000E+00	0.0000E+00	3.5265E+00	3.5265E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	9.9827E+00	9.9827E+00	1.9965E+01	5.0384E-01	5.0384E-01	8.0272E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.000	2.5883E+03	0.0000E+00	0.0000E+00	3.5320E+00	3.5320E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	3.8688E+00	3.8688E+00	7.7377E+00	5.0148E-01	5.0148E-01	3.1012E-01	0.0000E+00	0.0000E+00	0.0000E+00
117.000	2.6039E+03	0.0000E+00	0.0000E+00	3.5320E+00	3.5320E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	3.8922E+00	3.8922E+00	7.7845E+00	5.0149E-01	5.0149E-01	3.1200E-01	0.0000E+00	0.0000E+00	0.0000E+00
129.386	1.0099E+03	0.0000E+00	0.0000E+00	2.2960E+00	2.2960E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	6.3790E-01	6.3790E-01	1.2758E+00	5.0137E-01	5.0137E-01	1.2101E-01	0.0000E+00	0.0000E+00	0.0000E+00
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$3 11 Rigid
0.000	2.3385E+04	0.0000E+00	0.0000E+00	3.5039E+00	3.5039E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	3.4400E+01	3.4400E+01	6.8800E+01	5.1350E-01	5.1350E-01	2.8020E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	2.2627E+04	0.0000E+00	0.0000E+00	3.5049E+00	3.5049E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	3.3305E+01	3.3305E+01	6.6609E+01	5.1306E-01	5.1306E-01	2.7112E+00	0.0000E+00	0.0000E+00	0.0000E+00
