#1 Tower made by automatic script on 14-Oct-2021
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 21
0.000	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
0.010	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.010	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.010	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	1.9447E+04	0.0000E+00	0.0000E+00	3.5074E+00	3.5074E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	3.0670E+01	3.0670E+01	6.1340E+01	5.1200E-01	5.1200E-01	2.4932E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.010	1.4052E+04	0.0000E+00	0.0000E+00	3.5152E+00	3.5152E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.2261E+01	2.2261E+01	4.4521E+01	5.0865E-01	5.0865E-01	1.8015E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.000	1.3993E+04	0.0000E+00	0.0000E+00	3.5153E+00	3.5153E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	2.2169E+01	2.2169E+01	4.4337E+01	5.0862E-01	5.0862E-01	1.7940E+00	0.0000E+00	0.0000E+00	0.0000E+00
52.010	7.1020E+03	0.0000E+00	0.0000E+00	3.5253E+00	3.5253E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.1315E+01	1.1315E+01	2.2631E+01	5.0436E-01	5.0436E-01	9.1052E-01	0.0000E+00	0.0000E+00	0.0000E+00
65.000	7.5958E+03	0.0000E+00	0.0000E+00	3.5246E+00	3.5246E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.2097E+01	1.2097E+01	2.4194E+01	5.0466E-01	5.0466E-01	9.7381E-01	0.0000E+00	0.0000E+00	0.0000E+00
