1  number of sets, Nset
#1
            r            m         x_cg         y_cg         ri_x         ri_y         x_sh         y_sh            E            G          I_x          I_y            K          k_x          k_y            A        pitch          x_e          y_e
$1 20
  0.00000e+00  2.02880e+04  0.00000e+00  0.00000e+00  3.50633e+00  3.50633e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  3.17742e+01  3.17742e+01  6.35484e+01  5.00000e-01  5.00000e-01  2.58446e+00  0.00000e+00  0.00000e+00  0.00000e+00
  1.30000e+01  2.02144e+04  0.00000e+00  0.00000e+00  3.49360e+00  3.49360e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  3.14294e+01  3.14294e+01  6.28589e+01  5.00000e-01  5.00000e-01  2.57508e+00  0.00000e+00  0.00000e+00  0.00000e+00
  1.30010e+01  2.02431e+04  0.00000e+00  0.00000e+00  3.49356e+00  3.49356e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  3.14734e+01  3.14734e+01  6.29468e+01  5.00000e-01  5.00000e-01  2.57874e+00  0.00000e+00  0.00000e+00  0.00000e+00
  2.60000e+01  2.02493e+04  0.00000e+00  0.00000e+00  3.49462e+00  3.49462e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  3.15021e+01  3.15021e+01  6.30041e+01  5.00000e-01  5.00000e-01  2.57952e+00  0.00000e+00  0.00000e+00  0.00000e+00
  2.60010e+01  2.01830e+04  0.00000e+00  0.00000e+00  3.49472e+00  3.49472e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  3.14008e+01  3.14008e+01  6.28015e+01  5.00000e-01  5.00000e-01  2.57109e+00  0.00000e+00  0.00000e+00  0.00000e+00
  3.90000e+01  2.01013e+04  0.00000e+00  0.00000e+00  3.48057e+00  3.48057e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  3.10211e+01  3.10211e+01  6.20422e+01  5.00000e-01  5.00000e-01  2.56068e+00  0.00000e+00  0.00000e+00  0.00000e+00
  3.90010e+01  7.29791e+03  0.00000e+00  0.00000e+00  3.49917e+00  3.49917e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  1.13831e+01  1.13831e+01  2.27661e+01  5.00000e-01  5.00000e-01  9.29670e-01  0.00000e+00  0.00000e+00  0.00000e+00
  5.20000e+01  7.00370e+03  0.00000e+00  0.00000e+00  3.35810e+00  3.35810e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  1.00611e+01  1.00611e+01  2.01222e+01  5.00000e-01  5.00000e-01  8.92191e-01  0.00000e+00  0.00000e+00  0.00000e+00
  5.20010e+01  6.52305e+03  0.00000e+00  0.00000e+00  3.35883e+00  3.35883e+00  0.00000e+00  0.00000e+00  3.12000e+11  7.93000e+10  9.37468e+00  9.37468e+00  1.87494e+01  5.00000e-01  5.00000e-01  8.30962e-01  0.00000e+00  0.00000e+00  0.00000e+00
