#1 Tower made by rink 04-Oct-2019
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 20
0.000	1.2080E+04	0.0000E+00	0.0000E+00	3.5182E+00	3.5182E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.9048E+01	1.9048E+01	3.8095E+01	5.0738E-01	5.0738E-01	1.5389E+00	0.0000E+00	0.0000E+00	0.0000E+00
14.999	1.2080E+04	0.0000E+00	0.0000E+00	3.5182E+00	3.5182E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.9048E+01	1.9048E+01	3.8095E+01	5.0738E-01	5.0738E-01	1.5389E+00	0.0000E+00	0.0000E+00	0.0000E+00
15.000	1.1247E+04	0.0000E+00	0.0000E+00	3.5194E+00	3.5194E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.7746E+01	1.7746E+01	3.5491E+01	5.0687E-01	5.0687E-01	1.4327E+00	0.0000E+00	0.0000E+00	0.0000E+00
29.999	1.1126E+04	0.0000E+00	0.0000E+00	3.4817E+00	3.4817E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.7181E+01	1.7181E+01	3.4362E+01	5.0695E-01	5.0695E-01	1.4174E+00	0.0000E+00	0.0000E+00	0.0000E+00
30.000	1.0449E+04	0.0000E+00	0.0000E+00	3.4826E+00	3.4826E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.6144E+01	1.6144E+01	3.2289E+01	5.0652E-01	5.0652E-01	1.3311E+00	0.0000E+00	0.0000E+00	0.0000E+00
44.999	1.0033E+04	0.0000E+00	0.0000E+00	3.3440E+00	3.3440E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.4292E+01	1.4292E+01	2.8585E+01	5.0679E-01	5.0679E-01	1.2781E+00	0.0000E+00	0.0000E+00	0.0000E+00
45.000	9.6338E+03	0.0000E+00	0.0000E+00	3.3446E+00	3.3446E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.3728E+01	1.3728E+01	2.7457E+01	5.0652E-01	5.0652E-01	1.2272E+00	0.0000E+00	0.0000E+00	0.0000E+00
59.999	9.1985E+03	0.0000E+00	0.0000E+00	3.1935E+00	3.1935E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.1951E+01	1.1951E+01	2.3901E+01	5.0683E-01	5.0683E-01	1.1718E+00	0.0000E+00	0.0000E+00	0.0000E+00
60.000	8.7776E+03	0.0000E+00	0.0000E+00	3.1942E+00	3.1942E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.1408E+01	1.1408E+01	2.2817E+01	5.0651E-01	5.0651E-01	1.1182E+00	0.0000E+00	0.0000E+00	0.0000E+00
74.999	8.4472E+03	0.0000E+00	0.0000E+00	3.0740E+00	3.0740E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	1.0168E+01	1.0168E+01	2.0336E+01	5.0677E-01	5.0677E-01	1.0761E+00	0.0000E+00	0.0000E+00	0.0000E+00
75.000	7.8832E+03	0.0000E+00	0.0000E+00	3.0749E+00	3.0749E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	9.4948E+00	9.4948E+00	1.8990E+01	5.0631E-01	5.0631E-01	1.0042E+00	0.0000E+00	0.0000E+00	0.0000E+00
89.999	7.6543E+03	0.0000E+00	0.0000E+00	2.9856E+00	2.9856E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	8.6917E+00	8.6917E+00	1.7383E+01	5.0650E-01	5.0650E-01	9.7507E-01	0.0000E+00	0.0000E+00	0.0000E+00
90.000	6.9695E+03	0.0000E+00	0.0000E+00	2.9868E+00	2.9868E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	7.9202E+00	7.9202E+00	1.5840E+01	5.0592E-01	5.0592E-01	8.8784E-01	0.0000E+00	0.0000E+00	0.0000E+00
104.999	6.7826E+03	0.0000E+00	0.0000E+00	2.9067E+00	2.9067E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	7.3000E+00	7.3000E+00	1.4600E+01	5.0608E-01	5.0608E-01	8.6403E-01	0.0000E+00	0.0000E+00	0.0000E+00
105.000	6.0531E+03	0.0000E+00	0.0000E+00	2.9079E+00	2.9079E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.5205E+00	6.5205E+00	1.3041E+01	5.0542E-01	5.0542E-01	7.7110E-01	0.0000E+00	0.0000E+00	0.0000E+00
119.999	5.9299E+03	0.0000E+00	0.0000E+00	2.8487E+00	2.8487E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+10	6.1303E+00	6.1303E+00	1.2261E+01	5.0554E-01	5.0554E-01	7.5540E-01	0.0000E+00	0.0000E+00	0.0000E+00
