  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             2.509982             5.000000            90.218852           227.517496
             3.500000             2.165992             5.000000           339.500809           312.471964
             4.000000             1.701646             5.000000           666.923706           410.508899
             4.500000             1.126235             5.000000          1082.253631           521.166216
             5.000000             0.444570             5.000000          1595.320966           643.954409
             5.500000             0.000622             5.000000          2212.956176           755.904258
             6.000000             0.000545             5.000000          2914.722385           839.525185
             6.500000             0.000535             5.000000          3690.716064           922.193368
             7.000000             0.000535             5.012973          4539.738822          1005.351254
             7.500000             0.000535             5.370270          5565.799280          1142.273851
             8.000000             0.000535             5.727154          6728.019415          1285.188560
             8.500000             0.000535             6.084422          8031.588509          1433.597306
             9.000000             0.000535             6.442178          9480.447419          1586.893553
             9.500000             0.000535             6.800510         11077.357286          1744.468216
            10.000000             0.000535             7.159478         12823.838453          1905.712082
            10.500000             0.000535             7.519114         14720.281617          2070.025542
            11.000000             1.262386             7.560000         15538.460445          1972.819194
            11.500000             2.837011             7.560000         15536.918158          1797.088727
            12.000000             4.064646             7.560000         15534.921222          1671.968201
            12.500000             5.112536             7.560000         15534.934414          1573.900353
            13.000000             6.049222             7.560000         15534.432255          1492.739130
            13.500000             6.908248             7.560000         15534.681998          1423.665702
            14.000000             7.710127             7.560000         15535.335783          1363.613652
            14.500000             8.470250             7.560000         15533.126562          1310.276710
            15.000000             9.193892             7.560000         15532.781636          1262.779537
            15.500000             9.887493             7.560000         15541.267270          1220.531907
            16.000000            10.558057             7.560000         15534.366346          1181.270738
            16.500000            11.208435             7.560000         15534.584126          1145.801874
            17.000000            11.841081             7.560000         15534.973194          1113.308490
            17.500000            12.458274             7.560000         15534.289126          1083.365409
            18.000000            13.060914             7.560000         15538.609467          1055.997212
            18.500000            13.651324             7.560000         15537.655514          1030.364130
            19.000000            14.228619             7.560000         15541.669688          1006.826621
            19.500000            14.798515             7.560000         15536.946875           984.410628
            20.000000            15.358608             7.560000         15534.100824           963.579661
            20.500000            15.909282             7.560000         15534.737896           944.294343
            21.000000            16.451435             7.560000         15543.089870           926.614370
            21.500000            16.989301             7.560000         15537.829276           909.353909
            22.000000            17.519244             7.560000         15537.408938           893.352969
            22.500000            18.042754             7.560000         15534.422974           878.166917
            23.000000            18.559290             7.560000         15534.207026           864.012117
            23.500000            19.070647             7.560000         15535.092232           850.677842
            24.000000            19.577937             7.560000         15533.836021           837.966068
            24.500000            20.078992             7.560000         15533.095604           826.010945
            25.000000            20.571850             7.560000         15548.860853           815.408861
