  23 wind speed [m/s]          pitch [deg]     rot. speed [rpm]
             3.000000             0.000535             2.263953
             4.000000             0.000535             3.018604
             5.000000             0.000535             3.791944
             6.000000             0.000535             4.536456
             7.000000             0.000535             5.287988
             8.000000             0.000535             6.039450
             9.000000             0.000535             6.791860
            10.000000             0.000535             7.500000
            11.000000             1.382911             7.500000
            12.000000             4.344352             7.500000
            13.000000             6.421900             7.500000
            14.000000             8.150027             7.500000
            15.000000             9.678966             7.500000
            16.000000            11.072626             7.500000
            17.000000            12.391296             7.500000
            18.000000            13.646191             7.500000
            19.000000            14.840189             7.500000
            20.000000            15.988785             7.500000
            21.000000            17.104997             7.500000
            22.000000            18.189867             7.500000
            23.000000            19.246568             7.500000
            24.000000            20.282177             7.500000
            25.000000            21.287396             7.500000
