  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             3.698683             5.000000            58.071965           223.886810
             3.500000             3.373594             5.000000           313.239753           310.145031
             4.000000             2.934370             5.000000           646.808474           408.861122
             4.500000             2.381419             5.000000          1068.322196           520.025279
             5.000000             1.703014             5.000000          1587.645578           644.302029
             5.500000             0.980518             5.000000          2213.197622           775.941107
             6.000000             0.191950             5.000000          2948.562053           914.995576
             6.500000             0.000535             5.000000          3783.033654          1013.806863
             7.000000             0.000535             5.011613          4690.757947          1099.872451
             7.500000             0.000535             5.369149          5785.946328          1264.425436
             8.000000             0.000535             5.726715          7041.897658          1440.312800
             8.500000             0.000535             6.085330          8470.206951          1627.587445
             9.000000             0.000535             6.445380         10082.276861          1826.122560
             9.500000             0.000535             6.807298         11889.389168          2035.751080
            10.000000             0.000535             7.171558         13902.663188          2256.264860
            10.500000             1.588192             7.538674         15492.440983          2232.088260
            11.000000             3.983094             7.560000         15537.181743          1936.325842
            11.500000             5.506717             7.560000         15535.503000          1765.096378
            12.000000             6.711388             7.560000         15536.155472          1642.308041
            12.500000             7.747753             7.560000         15535.684789          1545.259743
            13.000000             8.675496             7.560000         15535.431810          1464.968627
            13.500000             9.527570             7.560000         15536.038615          1396.518596
            14.000000            10.322682             7.560000         15538.440626          1337.056904
            14.500000            11.075099             7.560000         15536.433212          1284.178903
            15.000000            11.792072             7.560000         15536.379892          1236.993389
            15.500000            12.479154             7.560000         15535.402829          1194.413775
            16.000000            13.141528             7.560000         15535.584566          1155.811993
            16.500000            13.782354             7.560000         15536.163274          1120.596191
            17.000000            14.404481             7.560000         15536.063320          1088.263278
            17.500000            15.010430             7.560000         15536.153932          1058.485927
            18.000000            15.601374             7.560000         15536.314601          1030.978159
            18.500000            16.179017             7.560000         15538.429166          1005.556596
            19.000000            16.745409             7.560000         15536.343832           981.680888
            19.500000            17.300128             7.560000         15536.007738           959.524124
            20.000000            17.844815             7.560000         15535.996595           938.860570
            20.500000            18.379367             7.560000         15536.101770           919.598121
            21.000000            18.905255             7.560000         15536.063548           901.571474
            21.500000            19.422824             7.560000         15535.933752           884.690124
            22.000000            19.932667             7.560000         15535.584897           868.838598
            22.500000            20.434995             7.560000         15535.617066           853.961612
            23.000000            20.930356             7.560000         15534.971858           839.934491
            23.500000            21.418971             7.560000         15534.330531           826.723138
            24.000000            21.901296             7.560000         15532.019661           814.200343
            24.500000            22.376892             7.560000         15535.204915           802.604703
            25.000000            22.847344             7.560000         15534.023890           791.481513
