  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             3.670255             5.000000            53.953671           222.618289
             3.500000             3.331074             5.000000           305.487871           308.465439
             4.000000             2.890489             5.000000           633.414369           405.663256
             4.500000             2.339542             5.000000          1046.898095           514.667829
             5.000000             1.665880             5.000000          1554.917629           636.045277
             5.500000             0.944354             5.000000          2165.284001           764.672279
             6.000000             0.154218             5.000000          2882.006740           900.521864
             6.500000             0.000535             5.000000          3692.402996           994.117125
             7.000000             0.000535             5.037432          4577.651817          1083.012448
             7.500000             0.000535             5.397249          5630.311545          1243.254086
             8.000000             0.000535             5.757066          6833.112915          1414.546871
             8.500000             0.000535             6.116882          8196.065370          1596.890804
             9.000000             0.000535             6.476699          9729.178351          1790.285884
             9.500000             0.000535             6.836515         11442.461301          1994.732111
            10.000000             0.000535             7.196332         13345.923664          2210.229485
            10.500000             0.000535             7.556149         15449.574882          2436.778007
            11.000000             3.260913             7.560000         15532.297289          2004.226613
            11.500000             4.962560             7.560000         15531.702052          1806.878662
            12.000000             6.259375             7.560000         15535.386377          1671.932092
            12.500000             7.356196             7.560000         15534.483322          1567.560764
            13.000000             8.327868             7.560000         15535.956683          1482.573714
            13.500000             9.215340             7.560000         15536.588109          1410.646532
            14.000000            10.041589             7.560000         15535.907537          1348.278783
            14.500000            10.820114             7.560000         15533.014745          1293.278353
            15.000000            11.558278             7.560000         15535.327827          1244.691777
            15.500000            12.264435             7.560000         15536.647697          1201.004126
            16.000000            12.945483             7.560000         15535.227531          1161.225897
            16.500000            13.602755             7.560000         15535.140475          1125.116785
            17.000000            14.240173             7.560000         15535.419221          1092.088646
            17.500000            14.860368             7.560000         15534.732262          1061.673162
            18.000000            15.464811             7.560000         15534.658603          1033.640660
            18.500000            16.055119             7.560000         15535.171803          1007.705745
            19.000000            16.632657             7.560000         15534.799874           983.574078
            19.500000            17.198731             7.560000         15534.510464           961.106959
            20.000000            17.753772             7.560000         15534.688346           940.204163
            20.500000            18.298953             7.560000         15534.485092           920.687911
            21.000000            18.834730             7.560000         15534.261789           902.462980
            21.500000            19.361685             7.560000         15534.347875           885.429767
            22.000000            19.880441             7.560000         15534.295989           869.457393
            22.500000            20.391561             7.560000         15534.848915           854.480655
            23.000000            20.895487             7.560000         15534.460982           840.360389
            23.500000            21.392524             7.560000         15534.209310           827.072353
            24.000000            21.882937             7.560000         15534.042097           814.556201
            24.500000            22.366888             7.560000         15535.274470           802.807134
            25.000000            22.845475             7.560000         15533.214739           791.584933
