  45 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             3.000000             3.673282             5.000000            63.313127           222.795404
             3.500000             3.347549             5.000000           317.913791           308.446739
             4.000000             2.880018             5.000000           650.643923           407.995155
             4.500000             2.342965             5.000000          1071.482568           517.307759
             5.000000             1.643182             5.000000          1589.664712           641.850305
             5.500000             0.926143             5.000000          2214.065598           771.977076
             6.000000             0.137332             5.000000          2947.616774           909.731097
             6.500000             0.000535             5.000000          3778.598086          1004.101288
             7.000000             0.000535             5.011784          4681.560332          1089.604580
             7.500000             0.000535             5.369257          5774.210157          1252.657773
             8.000000             0.000535             5.726596          7027.123345          1426.953798
             8.500000             0.000535             6.084866          8451.885553          1612.574318
             9.000000             0.000535             6.444425         10059.866501          1809.410041
             9.500000             0.000535             6.805674         11862.338656          2017.315990
            10.000000             0.000535             7.169052         13870.422812          2236.109415
            10.500000             1.505084             7.535035         15484.556283          2226.170978
            11.000000             3.916536             7.560000         15535.902359          1932.955426
            11.500000             5.449353             7.560000         15531.175296          1762.382013
            12.000000             6.662146             7.560000         15534.357881          1640.185240
            12.500000             7.703694             7.560000         15534.078898          1543.617517
            13.000000             8.638019             7.560000         15536.065383          1463.642227
            13.500000             9.490778             7.560000         15546.047013          1396.254927
            14.000000            10.298124             7.560000         15535.866701          1335.638322
            14.500000            11.055295             7.560000         15536.062114          1282.981896
            15.000000            11.777196             7.560000         15536.492776          1235.859276
            15.500000            12.470181             7.560000         15535.393904          1193.217129
            16.000000            13.137433             7.560000         15536.128661          1154.623592
            16.500000            13.783229             7.560000         15535.933320          1119.323061
            17.000000            14.409964             7.560000         15536.074645          1086.966339
            17.500000            15.020392             7.560000         15535.870075          1057.125968
            18.000000            15.615469             7.560000         15536.624598          1029.611757
            18.500000            16.197704             7.560000         15536.042463          1003.993063
            19.000000            16.765953             7.560000         15543.531893           980.601484
            19.500000            17.326053             7.560000         15536.023692           957.998516
            20.000000            17.874437             7.560000         15535.937779           937.276844
            20.500000            18.412587             7.560000         15536.154855           917.957193
            21.000000            18.941991             7.560000         15535.935140           899.856274
            21.500000            19.462980             7.560000         15535.923378           882.912853
            22.000000            19.976121             7.560000         15535.730802           867.005444
            22.500000            20.481725             7.560000         15535.637664           852.061031
            23.000000            20.980329             7.560000         15535.440013           837.989974
            23.500000            21.471944             7.560000         15535.159118           824.738405
            24.000000            21.957505             7.560000         15532.425160           812.136519
            24.500000            22.436167             7.560000         15535.389896           800.473208
            25.000000            22.909669             7.560000         15533.655897           789.268199
