                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.267063       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.66142729910988e-04
 9.75338137082432e-01 -4.18532229569753e-03
 9.49014961918411e-01 -5.75378622543293e-03
 9.22966864741510e-01 -1.01317179606379e-02
 8.97114706029086e-01 -1.39397310335533e-02
 8.71549889567248e-01 -1.96749371274798e-02
 8.46356307698924e-01 -2.70433524664592e-02
 8.21588973535401e-01 -3.56596311837432e-02
 7.97249369233239e-01 -4.50815712085844e-02
 7.73366729008348e-01 -5.51826112554634e-02
 7.49927250280552e-01 -6.57166819638998e-02
 7.26934292570810e-01 -7.65668151456475e-02
 7.04350881169309e-01 -8.75266842427660e-02
 6.82137250374752e-01 -9.83911847297426e-02
 6.60261662147864e-01 -1.09056596717492e-01
 6.38691927631567e-01 -1.19395792448573e-01
 6.17402142225490e-01 -1.29308567757230e-01
 5.96377730998341e-01 -1.38733898379974e-01
 5.75609982722038e-01 -1.47623378760116e-01
 5.55103385820402e-01 -1.55966819887994e-01
 5.34853431187811e-01 -1.63691442926333e-01
 5.14610186362463e-01 -1.70755299760079e-01
 4.94154597613355e-01 -1.77227788597958e-01
 4.73950750477729e-01 -1.82983080433413e-01
 4.54071719885384e-01 -1.88149254285385e-01
 4.34489504739429e-01 -1.92574104685920e-01
 4.15250614274981e-01 -1.96317674669007e-01
 3.96381997860614e-01 -1.99412670201557e-01
 3.77902484997428e-01 -2.01862068885773e-01
 3.59830094655020e-01 -2.03645011368415e-01
 3.42191748497524e-01 -2.04910473227772e-01
 3.25001645034376e-01 -2.05534017972211e-01
 3.08274195272041e-01 -2.05644665598910e-01
 2.92020926496115e-01 -2.05253722776173e-01
 2.76253539668087e-01 -2.04379478088795e-01
 2.60988972665385e-01 -2.03009305720618e-01
 2.46228933823103e-01 -2.01177959567724e-01
 2.31966235661767e-01 -1.98928427939771e-01
 2.18218946329933e-01 -1.96247546454604e-01
 2.04989916660937e-01 -1.93129067817413e-01
 1.92263571470785e-01 -1.89591509548940e-01
 1.80070385205570e-01 -1.85549375482719e-01
 1.68362628928580e-01 -1.80972142174014e-01
 1.57181993596851e-01 -1.75609743897496e-01
 1.46489229217225e-01 -1.69050781018594e-01
 1.36299091615030e-01 -1.65695994817792e-01
 1.26616258203991e-01 -1.62185341017464e-01
 1.17393069826976e-01 -1.58533471129702e-01
 1.08677219353016e-01 -1.54729759114898e-01
 1.00412848771956e-01 -1.50816530157259e-01
 9.26238710963574e-02 -1.46797967482700e-01
 8.52912104263427e-02 -1.42685380154017e-01
 7.83818756043554e-02 -1.38499386339145e-01
 7.19300778442086e-02 -1.34235955271695e-01
 6.58718960189739e-02 -1.29923006567972e-01
 6.01980600399381e-02 -1.25573179854693e-01
 5.49096172023547e-02 -1.21193643401136e-01
 4.99676079997269e-02 -1.16804229312811e-01
 4.54338549806808e-02 -1.12405904599728e-01
 4.12228473975555e-02 -1.08026030522926e-01
 3.72841528913074e-02 -1.03681544881356e-01
 3.37056376427046e-02 -9.93718456399348e-02
 3.04183959827349e-02 -9.51114908702009e-02
 2.74006561072630e-02 -9.09072459062326e-02
 2.46227325749333e-02 -8.67666313511769e-02
 2.20546063135626e-02 -8.26977127776365e-02
 1.97378276555651e-02 -7.87010237771761e-02
 1.76224128862167e-02 -7.47863447112353e-02
 1.56853032279853e-02 -7.09591165212882e-02
 1.39162623665882e-02 -6.72297539289739e-02
 1.23260097265252e-02 -6.36060148184026e-02
 1.08841729423487e-02 -6.00898280558094e-02
 9.58541505755660e-03 -5.66807418082126e-02
 8.42303493448367e-03 -5.33808022009815e-02
 7.38019343618774e-03 -5.01911011280743e-02
 6.45294562928558e-03 -4.71040477615334e-02
 5.64848363948790e-03 -4.41134049024490e-02
 4.93821768883934e-03 -4.12261767010173e-02
 4.29494925365775e-03 -3.84402834462065e-02
 3.72552231837562e-03 -3.57520651692408e-02
 3.25818989624068e-03 -3.31607637729990e-02
 2.86467614168680e-03 -3.06643364138066e-02
 2.51012772610959e-03 -2.82672475879954e-02
 2.17806693487365e-03 -2.59665486506504e-02
 1.87229129629543e-03 -2.37609564492772e-02
 1.59852534913288e-03 -2.16490612099439e-02
 1.35503707284486e-03 -1.96258192721071e-02
 1.13723537819332e-03 -1.76869464792945e-02
 9.35956448575764e-04 -1.58289968936369e-02
 7.62846898697409e-04 -1.40487998685793e-02
 6.27482285598849e-04 -1.23430215599725e-02
 5.17241133849741e-04 -1.07089981052581e-02
 4.18554317865071e-04 -9.14442231995091e-03
 3.07543637934284e-04 -7.64657435692794e-03
 2.02264830706769e-04 -6.21319694885834e-03
 1.52996045029034e-04 -4.84172368206148e-03
 1.10721804835719e-04 -3.52975484713965e-03
 7.38851786248547e-05 -2.27478250667370e-03
 4.17533039924728e-05 -1.07495103418613e-03
 0.00000000000000e+00  0.00000000000000e+00
 4.84583110415833e-05  1.18198351675851e-03
 1.09257019928545e-04  2.41979403964104e-03
 1.94941885773355e-04  3.67167357325682e-03
 2.98442292574363e-04  4.97955884150648e-03
 3.86109636892753e-04  6.34635800217587e-03
 4.70641267194218e-04  7.77414044326252e-03
 5.64477694242533e-04  9.26478524159500e-03
 6.81382164585079e-04  1.08209361569131e-02
 8.38834662313403e-04  1.24445889698988e-02
 1.02348649902069e-03  1.41380567431201e-02
 1.21640233162181e-03  1.59048106799360e-02
 1.42489851755526e-03  1.77477344977300e-02
 1.66539064720091e-03  1.96693045243494e-02
 1.94063803251629e-03  2.16751817257771e-02
 2.22778261727703e-03  2.37718416479813e-02
 2.51004307355261e-03  2.59621723823413e-02
 2.79792126926770e-03  2.82469864043600e-02
 3.11392616722933e-03  3.06292770202648e-02
 3.48294886384063e-03  3.31113868872642e-02
 3.92880237977844e-03  3.56899513195595e-02
 4.43734089452013e-03  3.83685791176229e-02
 4.98657824700969e-03  4.11487341154110e-02
 5.61064274520627e-03  4.40317692589429e-02
 6.34941100653705e-03  4.70119865553583e-02
 7.21079794360307e-03  5.00902967446435e-02
 8.18591457594155e-03  5.32648711978188e-02
 9.27110486949595e-03  5.65542929158413e-02
 1.04893467518877e-02  5.99568843235294e-02
 1.18474666085619e-02  6.34682193953365e-02
 1.33469241903177e-02  6.70948320292588e-02
 1.50028742866827e-02  7.08347211607689e-02
 1.68014022635116e-02  7.46855821094271e-02
 1.87658180898199e-02  7.86390958839523e-02
 2.09286187188421e-02  8.26894086848521e-02
 2.33054735316979e-02  8.68339908864428e-02
 2.58648921277710e-02  9.10720970313027e-02
 2.86408551373696e-02  9.53950831593136e-02
 3.16854837248560e-02  9.97915864977608e-02
 3.50157403035984e-02  1.04253313859843e-01
 3.86235376945857e-02  1.08777048206173e-01
 4.25326122911502e-02  1.13345570330032e-01
 4.67393137441578e-02  1.17948385631728e-01
 5.12876194150080e-02  1.22570830897914e-01
 5.62093437764083e-02  1.27193470921107e-01
 6.14963346879665e-02  1.31797809561737e-01
 6.71564310859172e-02  1.36371257947753e-01
 7.32195518069880e-02  1.40897648309129e-01
 7.97053570944682e-02  1.45363888038929e-01
 8.66365934958609e-02  1.49736018818225e-01
 9.40287731598438e-02  1.53992494185046e-01
 1.01899924139915e-01  1.58117279233916e-01
 1.10214782701886e-01  1.62114399876036e-01
 1.19043863857921e-01  1.65935823540181e-01
 1.28335936049703e-01  1.69590034349667e-01
 1.38137342061681e-01  1.75413601641722e-01
 1.48435235679882e-01  1.81062356121949e-01
 1.59249356064050e-01  1.85809458929639e-01
 1.70562717657209e-01  1.89949762392610e-01
 1.82383798814141e-01  1.93596231179608e-01
 1.94719680660090e-01  1.96793220304347e-01
 2.07576084739468e-01  1.99550131867902e-01
 2.20942337614192e-01  2.01897822888946e-01
 2.34807086313752e-01  2.03846870871420e-01
 2.49165314540798e-01  2.05392213019496e-01
 2.64015793744933e-01  2.06551066854797e-01
 2.79347553298533e-01  2.07294850750864e-01
 2.95159372505561e-01  2.07611328521432e-01
 3.11435983813554e-01  2.07532488587576e-01
 3.28174344689650e-01  2.06977268748993e-01
 3.45361764502260e-01  2.05984664707935e-01
 3.62995426132503e-01  2.04639881525552e-01
 3.81050017330368e-01  2.02757060432427e-01
 3.99534291497305e-01  2.00504944401659e-01
 4.18427555845321e-01  1.97805775262741e-01
 4.37717010310360e-01  1.94669688747861e-01
 4.57391527607538e-01  1.91101683732428e-01
 4.77112308644585e-01  1.87128020120733e-01
 4.96853062941435e-01  1.82722099699674e-01
 5.16959857860104e-01  1.77928146976503e-01
 5.37420223480911e-01  1.72714571065218e-01
 5.58233236357497e-01  1.67167444155208e-01
 5.79383298362523e-01  1.61258834236358e-01
 6.00864150410835e-01  1.55024730830427e-01
 6.22664794970486e-01  1.48489020397048e-01
 6.44763698936747e-01  1.41594377799498e-01
 6.67162837747883e-01  1.34456675600068e-01
 6.89830505228001e-01  1.26980546675132e-01
 7.12763615546976e-01  1.19263463635106e-01
 7.35942393300551e-01  1.11298317006946e-01
 7.59348830136798e-01  1.03091066733048e-01
 7.82958351144462e-01  9.46263176620884e-02
 8.06764855808505e-01  8.59818960991561e-02
 8.30745286508025e-01  7.71500097077601e-02
 8.54867190827346e-01  6.80887156296022e-02
 8.79136655394276e-01  5.89227624228927e-02
 9.03523051196913e-01  4.96091446962814e-02
 9.28027008943976e-01  4.02082827730462e-02
 9.52601129417807e-01  3.05384134509249e-02
 9.77239060999437e-01  2.02481653293658e-02
 1.00000000000000e+00  1.02603722088918e-02
