                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.352942       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -9.63086888534877e-03
 9.73809120580222e-01 -1.62464421401116e-02
 9.48002047597113e-01 -2.62237824342914e-02
 9.22826295475643e-01 -3.78116500412343e-02
 8.98293845592849e-01 -5.11861964599258e-02
 8.74354248773190e-01 -6.54428905641223e-02
 8.50873360910856e-01 -8.00618379360110e-02
 8.28287966486747e-01 -9.49514944350398e-02
 8.06126295054029e-01 -1.09886301735097e-01
 7.84300517766535e-01 -1.24942960589945e-01
 7.62428942766954e-01 -1.39726565016776e-01
 7.40626093020268e-01 -1.54300055707630e-01
 7.18748696908939e-01 -1.68469124603859e-01
 6.96671688208666e-01 -1.82055065623111e-01
 6.74580348623326e-01 -1.95149542273922e-01
 6.52312457562758e-01 -2.07362847065812e-01
 6.29959155255483e-01 -2.18856032420696e-01
 6.07551346390963e-01 -2.29593288567797e-01
 5.85739335520473e-01 -2.39581658360418e-01
 5.64333672868594e-01 -2.48836301343373e-01
 5.43049859300458e-01 -2.57197420361608e-01
 5.21926298717045e-01 -2.64668320228538e-01
 5.01046875848115e-01 -2.71424018257464e-01
 4.80355167503841e-01 -2.77138212757177e-01
 4.59975618634065e-01 -2.82182487369576e-01
 4.39859046495302e-01 -2.86191422979492e-01
 4.20085718839550e-01 -2.89427077364612e-01
 4.00689551531404e-01 -2.91974488882701e-01
 3.81683843868792e-01 -2.93713417338278e-01
 3.63092810907713e-01 -2.94591736917740e-01
 3.44952104692839e-01 -2.95014924016212e-01
 3.27274329001543e-01 -2.94516289849541e-01
 3.10077840397148e-01 -2.93480067591778e-01
 2.93371802800572e-01 -2.91918405756930e-01
 2.77182663778818e-01 -2.89780487657822e-01
 2.61516938800684e-01 -2.87013083697198e-01
 2.46391661279156e-01 -2.83724693145393e-01
 2.31772119307362e-01 -2.80157213054730e-01
 2.17707536132754e-01 -2.76086493620640e-01
 2.04188605664838e-01 -2.71606135989523e-01
 1.91198904929783e-01 -2.66838911345596e-01
 1.78778940250683e-01 -2.61616816378160e-01
 1.66869094284038e-01 -2.56222470570949e-01
 1.55525190988195e-01 -2.50454480614129e-01
 1.44695901279330e-01 -2.44501164279993e-01
 1.34403861920471e-01 -2.38318352178026e-01
 1.24664687689088e-01 -2.31876241671243e-01
 1.15391361185121e-01 -2.25391508603142e-01
 1.06686849579128e-01 -2.18643363606057e-01
 9.84478071569671e-02 -2.11855749905303e-01
 9.07309628669420e-02 -2.04918461221423e-01
 8.35003784981235e-02 -1.97912840267879e-01
 7.67063736697203e-02 -1.90927579993731e-01
 7.04119965743017e-02 -1.83863564853220e-01
 6.45081601404440e-02 -1.76891136651131e-01
 5.89877503935339e-02 -1.70013859316667e-01
 5.38581463506605e-02 -1.63214937205345e-01
 4.90589445457472e-02 -1.56568047609889e-01
 4.47147614787952e-02 -1.49911476760619e-01
 4.06831499202581e-02 -1.43409558812449e-01
 3.68820218836331e-02 -1.37131050342851e-01
 3.34829543386953e-02 -1.30900109364426e-01
 3.03778427352235e-02 -1.24809396546402e-01
 2.75285973663733e-02 -1.18893138345632e-01
 2.48980936337258e-02 -1.13166984256285e-01
 2.24281762600036e-02 -1.07667537861952e-01
 2.02126822521622e-02 -1.02312714142883e-01
 1.81761609405539e-02 -9.71452185331109e-02
 1.62882453039948e-02 -9.21742020504191e-02
 1.45364586293566e-02 -8.73890155218804e-02
 1.29758707982671e-02 -8.27435003045173e-02
 1.15616296529709e-02 -7.82552753249583e-02
 1.02817134727314e-02 -7.39226550931159e-02
 9.14781797015906e-03 -6.97322943884260e-02
 8.13627553383719e-03 -6.56872620605074e-02
 7.22711265000629e-03 -6.17916534252451e-02
 6.42945357213696e-03 -5.80448072605622e-02
 5.72541477035331e-03 -5.44342228819303e-02
 5.06821974284959e-03 -5.09716932910512e-02
 4.44943284658298e-03 -4.76525091832493e-02
 3.92056590507578e-03 -4.44577055725050e-02
 3.47487179051275e-03 -4.13805192595835e-02
 3.06841164575979e-03 -3.84207914388910e-02
 2.66863661461111e-03 -3.55814187563467e-02
 2.28589105770666e-03 -3.28534050029664e-02
 1.94623962391087e-03 -3.02261799534256e-02
 1.65429173730203e-03 -2.76944635503095e-02
 1.39490394395680e-03 -2.52578971826295e-02
 1.15652570687792e-03 -2.29156724397260e-02
 9.33267789218128e-04 -2.06631725632831e-02
 7.50331149701327e-04 -1.84949008421010e-02
 6.14497940011675e-04 -1.64057776700805e-02
 4.97803980633382e-04 -1.43944834831717e-02
 3.74523633359591e-04 -1.24599316522709e-02
 2.09195109329067e-04 -1.05997747981340e-02
 9.34118628562286e-05 -8.80252050609429e-03
 5.54347121914334e-05 -7.05438584732469e-03
 2.71823663333723e-05 -5.33694895568742e-03
 1.17645116415647e-05 -3.57435625900672e-03
 2.88724539800627e-06 -1.41157806154335e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.14043535888572e-05  1.53053328084884e-03
 8.56286433793148e-05  3.12056461690436e-03
 1.94935504605185e-04  4.77033408657731e-03
 3.28485370909035e-04  6.48460986273173e-03
 4.37580878157466e-04  8.26894531934839e-03
 5.42195144387081e-04  1.01247803977702e-02
 6.57830565169883e-04  1.20529328170474e-02
 8.13520483872607e-04  1.40543870845693e-02
 1.03365070824610e-03  1.61316399737186e-02
 1.27177845055394e-03  1.82903584113314e-02
 1.50708823947384e-03  2.05352364981138e-02
 1.76528376116549e-03  2.28677577437624e-02
 2.07393300213891e-03  2.52878154649626e-02
 2.43903061645453e-03  2.78505582321596e-02
 2.82546647721204e-03  3.05577350693025e-02
 3.20090693159669e-03  3.33796527996383e-02
 3.58405454680852e-03  3.63163435425390e-02
 4.01304515954630e-03  3.93639978241535e-02
 4.52854440028863e-03  4.25253548523275e-02
 5.11265317562881e-03  4.58106041405279e-02
 5.71448672965814e-03  4.92388320275877e-02
 6.34200672365101e-03  5.28156380060777e-02
 7.05554369092805e-03  5.65315472935569e-02
 7.89495415586342e-03  6.03887886330086e-02
 8.83173861567207e-03  6.43998936895311e-02
 9.87864429785949e-03  6.85547156767876e-02
 1.10651407458812e-02  7.28452678750391e-02
 1.24055789562862e-02  7.72792090136387e-02
 1.38926749676705e-02  8.18591101719622e-02
 1.55419603925527e-02  8.65841245721289e-02
 1.73436828465743e-02  9.14729728800875e-02
 1.92677780848382e-02  9.65587365261665e-02
 2.13781788513536e-02  1.01811509466171e-01
 2.36961732172013e-02  1.07223390028531e-01
 2.62025142871667e-02  1.12824407767841e-01
 2.88536798923607e-02  1.18656540944649e-01
 3.17729549995880e-02  1.24640102273014e-01
 3.49825190501720e-02  1.30758618262240e-01
 3.84720509164077e-02  1.37031712812454e-01
 4.22499087762343e-02  1.43463379504557e-01
 4.63166377949658e-02  1.50069340882996e-01
 5.06903923628243e-02  1.56836203496888e-01
 5.54540821548865e-02  1.63683446520507e-01
 6.05971990705687e-02  1.70634725709673e-01
 6.60835747403310e-02  1.77739776935165e-01
 7.19760800816817e-02  1.84924227025156e-01
