! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroElasticSE FAST driver
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
@"IEA-15-240-RWT_AF03_Coords.txt"       NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
AF03_BL.txt              BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1 
! ------------------------------------------------------------------------------
3.000000                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
False                    InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
! Table of aerodynamics coefficients
200                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl      Cd        Cm
!    (deg)      (-)     (-)       (-)
-1.80000000000000e+02  6.66837016727444e-05  2.84801209438855e-01 -6.66837016727444e-05
-1.77000000000000e+02  5.72307812469910e-02  2.84283152911434e-01  1.81981318600291e-02
-1.74000000000000e+02  1.15435260510099e-01  2.82893334218690e-01  3.72571275318618e-02
-1.71000000000000e+02  1.73639554024248e-01  2.80622199236131e-01  5.63164633708879e-02
-1.68000000000000e+02  2.31621535871098e-01  2.83762691439030e-01  5.64573081996768e-02
-1.65000000000000e+02  2.89496275401416e-01  2.83966898778708e-01  4.72883727123846e-02
-1.62000000000000e+02  3.47367461666635e-01  2.76118631859417e-01  3.82753392587070e-02
-1.59000000000000e+02  3.80494825561929e-01  2.76913195292430e-01  2.79178149032128e-02
-1.56000000000000e+02  3.64130626562395e-01  2.93953129863182e-01  1.53805641771286e-02
-1.53000000000000e+02  3.47769685346596e-01  3.09376183976957e-01  1.41874195575970e-02
-1.50000000000000e+02  3.31408585057589e-01  3.23262722939947e-01  1.32221941230556e-02
-1.47000000000000e+02  2.65709758712060e-01  3.50123776011957e-01  1.19469013239767e-02
-1.44000000000000e+02  2.50096030779472e-01  3.60866170629080e-01  1.07713610413840e-02
-1.41000000000000e+02  2.30732526336741e-01  3.78315739781059e-01  9.63058914622135e-03
-1.38000000000000e+02  2.16035167200702e-01  3.97760787473656e-01  9.16474081460909e-03
-1.35000000000000e+02  2.03312509669166e-01  4.18141439970275e-01  9.01053054190169e-03
