                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.21139809450505e-03
 9.76142842133469e-01 -3.73615750355408e-03
 9.52101373897713e-01 -6.10304280806426e-04
 9.27972027630962e-01  7.51610694688174e-04
 9.03861550959005e-01  9.63261392398244e-04
 8.79868401432142e-01 -3.33217321879714e-04
 8.56074970695499e-01 -2.53626051968576e-03
 8.32542789395929e-01 -5.74527324899553e-03
 8.09322839067906e-01 -9.83814732896065e-03
 7.86458886381699e-01 -1.48643853871281e-02
 7.63991074833837e-01 -2.06896655874153e-02
 7.41917426367872e-01 -2.71202064324273e-02
 7.20242581247835e-01 -3.40506239390570e-02
 6.98961930064152e-01 -4.13612856527449e-02
 6.78057263619977e-01 -4.89213784287057e-02
 6.57506021858820e-01 -5.66105931522147e-02
 6.37287503247901e-01 -6.43246573619078e-02
 6.17383135667522e-01 -7.19732679116094e-02
 5.97770855800075e-01 -7.94607179722445e-02
 5.78436919352117e-01 -8.67141858187819e-02
 5.59373209879583e-01 -9.36756409758915e-02
 5.40570201738706e-01 -1.00281836382868e-01
 5.22031083034862e-01 -1.06503028984052e-01
 5.03757305858770e-01 -1.12303940051636e-01
 4.85754185012292e-01 -1.17658749217170e-01
 4.68029611604968e-01 -1.22549767864311e-01
 4.50596235722804e-01 -1.26976715578814e-01
 4.33466449688809e-01 -1.30941601459488e-01
 4.16650268714259e-01 -1.34439253974495e-01
 4.00159704233804e-01 -1.37483756940932e-01
 3.84008352518328e-01 -1.40312881060739e-01
 3.68205002950426e-01 -1.42679586968998e-01
 3.52761641683399e-01 -1.44605028235604e-01
 3.37686288670032e-01 -1.46093511961001e-01
 3.22988917463881e-01 -1.47175364613660e-01
 3.08674091631704e-01 -1.47861651710737e-01
 2.94748692456360e-01 -1.48174065247058e-01
 2.81216974774364e-01 -1.48100322963184e-01
 2.68081278708605e-01 -1.47096505772833e-01
 2.55344811318869e-01 -1.45660897801810e-01
 2.43008664406681e-01 -1.44216811075288e-01
 2.31072437363709e-01 -1.42727254568588e-01
 2.19535602914952e-01 -1.41164762707010e-01
 2.08396655313779e-01 -1.39509178742462e-01
 1.97652346024764e-01 -1.37747529799079e-01
 1.87300391937533e-01 -1.35868428330919e-01
 1.77336859244564e-01 -1.33872941382972e-01
 1.67755000605281e-01 -1.31664902569635e-01
 1.58548224533755e-01 -1.29088715076382e-01
 1.49711893228095e-01 -1.26383840144076e-01
 1.41238063571777e-01 -1.23569883400584e-01
 1.33117425897004e-01 -1.20662663064887e-01
 1.25343512883808e-01 -1.17672456001733e-01
 1.17908667577238e-01 -1.14610899267274e-01
 1.10801538863403e-01 -1.11495115465765e-01
 1.04013051837911e-01 -1.08336118424724e-01
 9.75348493368756e-02 -1.05143790294569e-01
 9.13565292212518e-02 -1.01928952605436e-01
 8.54669040643825e-02 -9.87035268331100e-02
 7.98596426648644e-02 -9.54697931186412e-02
 7.45253683035687e-02 -9.22369807018674e-02
 6.94514194833640e-02 -8.90166771564203e-02
 6.46312294411355e-02 -8.58107323002263e-02
 6.00566983094542e-02 -8.26243897415192e-02
 5.57193756303779e-02 -7.94617391728192e-02
 5.16080069733817e-02 -7.63316342453446e-02
 4.77150519707249e-02 -7.32362016541595e-02
 4.40327463066853e-02 -7.01787043564087e-02
 4.05513152964932e-02 -6.71644186929150e-02
 3.72651441121580e-02 -6.41930290877494e-02
 3.41698403303669e-02 -6.12645796313637e-02
 3.12538090870972e-02 -5.83855307572309e-02
 2.85165598427288e-02 -5.55518258316502e-02
 2.59472651690071e-02 -5.27690839517594e-02
 2.35347679794599e-02 -5.00421704052296e-02
 2.12758865933225e-02 -4.73722374722452e-02
 1.91661192199595e-02 -4.47581476105576e-02
 1.71963801380513e-02 -4.22004054178514e-02
 1.53588367624661e-02 -3.97010110758467e-02
 1.36612884133029e-02 -3.72527616298657e-02
 1.20920038976858e-02 -3.48602378407364e-02
 1.06400333056760e-02 -3.25253640011433e-02
 9.29894133660171e-03 -3.02490907877501e-02
 8.07889819085139e-03 -2.80256331349109e-02
 6.96708593195298e-03 -2.58576394991613e-02
 5.94591454377916e-03 -2.37513353705315e-02
 4.99426931002390e-03 -2.17096802022710e-02
 4.13507451423521e-03 -1.97237639636666e-02
 3.39667523938367e-03 -1.77802282556760e-02
 2.75601953430367e-03 -1.58894633915468e-02
 2.19633874865461e-03 -1.40540283526098e-02
 1.72840307496228e-03 -1.22724114817618e-02
 1.34286570899636e-03 -1.05443998004454e-02
 1.01729226165425e-03 -8.87224718805503e-03
 7.32705043016408e-04 -7.25411365114207e-03
 5.08422707108106e-04 -5.69154437946780e-03
 3.45530945580279e-04 -4.18459716234432e-03
 2.00034055925006e-04 -2.72863908853638e-03
 8.38226000491430e-05 -1.32680888135557e-03
 0.00000000000000e+00  0.00000000000000e+00
 8.04217358349222e-05  1.36175324140431e-03
 1.82860022602032e-04  2.76203880241374e-03
 3.07707391529631e-04  4.21763686472499e-03
 4.44549055929702e-04  5.72804069668572e-03
 6.23812839818893e-04  7.29765270496059e-03
 8.45723484104881e-04  8.92566325846658e-03
 1.10575031296603e-03  1.06102951588076e-02
 1.42735596260657e-03  1.23552265511570e-02
 1.81829046740118e-03  1.41573523739125e-02
 2.29223730414638e-03  1.60141564516852e-02
 2.85437040447899e-03  1.79262695550641e-02
 3.50522821294580e-03  1.98955987049263e-02
 4.24985885842792e-03  2.19179453753560e-02
 5.09867079311818e-03  2.39965625093915e-02
 6.00290430242815e-03  2.61431200010744e-02
 6.99979513226061e-03  2.83499696451790e-02
 8.10539687891000e-03  3.06129483946552e-02
 9.32708192651976e-03  3.29297646022999e-02
 1.06596814741146e-02  3.53043711729411e-02
 1.21021906543371e-02  3.77383927667579e-02
 1.36649171299809e-02  4.02337668248353e-02
 1.53487963892932e-02  4.27955502279189e-02
 1.71665283904856e-02  4.54149372234760e-02
 1.91182181200803e-02  4.80940142581830e-02
 2.12201355077159e-02  5.08224059584770e-02
 2.34809845346465e-02  5.35991766555858e-02
 2.59000581038165e-02  5.64277746808970e-02
 2.84877807135127e-02  5.93028159074542e-02
 3.12521672692866e-02  6.22213658283823e-02
 3.41995342253892e-02  6.51818699892661e-02
 3.73378473367669e-02  6.81809116659515e-02
 4.06757574012530e-02  7.12140270675027e-02
 4.42154838055095e-02  7.42828638427761e-02
 4.79678967721103e-02  7.73792453363171e-02
 5.19403017142868e-02  8.05008840842748e-02
 5.61387218917495e-02  8.36461359062149e-02
 6.05744824624157e-02  8.68046432556253e-02
 6.52533623648681e-02  8.99744768782235e-02
 7.01859237124755e-02  9.31469184593639e-02
 7.53814295031060e-02  9.63138316754236e-02
 8.08473958902046e-02  9.94691758968421e-02
 8.65903682254258e-02  1.02608950984904e-01
 9.26191737957453e-02  1.05724688299087e-01
 9.89427503964933e-02  1.08805284501001e-01
 1.05572574378567e-01  1.11835726530552e-01
 1.12512915633577e-01  1.14814012082883e-01
 1.19773007772667e-01  1.17727286471524e-01
 1.27363221950667e-01  1.20556889598296e-01
 1.35289296514862e-01  1.23294787548128e-01
 1.43556857719485e-01  1.25932505090186e-01
 1.52174578736971e-01  1.28451369499810e-01
 1.61146152442972e-01  1.30847460635660e-01
 1.70478833350526e-01  1.33103875216750e-01
 1.80176444516454e-01  1.35036359961196e-01
 1.90244409946836e-01  1.36693107134912e-01
 2.00686204337921e-01  1.38207445504524e-01
 2.11505597872941e-01  1.39570306744710e-01
 2.22703590303689e-01  1.40793968317909e-01
 2.34282402247760e-01  1.41865906191140e-01
 2.46243024904699e-01  1.42795952710561e-01
 2.58585392268802e-01  1.43587041085657e-01
 2.71309804206021e-01  1.44243663400420e-01
 2.84416437446142e-01  1.44769416282592e-01
 2.97905136878219e-01  1.45138883405801e-01
 3.11775233303682e-01  1.45396185603328e-01
 3.26025457731245e-01  1.44799633556647e-01
 3.40654434931028e-01  1.43890189834681e-01
 3.55661055018669e-01  1.42727607243276e-01
 3.71043291657118e-01  1.41378512496123e-01
 3.86798859574859e-01  1.39857189471553e-01
 4.02924818727687e-01  1.38084176510744e-01
 4.19418353512935e-01  1.36064257381550e-01
 4.36274589718543e-01  1.33787632522958e-01
 4.53491768061524e-01  1.31275824854263e-01
 4.71064241052868e-01  1.28524300378203e-01
 4.88986423191382e-01  1.25535254042783e-01
 5.07252279772362e-01  1.22310892585478e-01
 5.25856826494498e-01  1.18865894646810e-01
 5.44792841888021e-01  1.15204498738876e-01
 5.64056788561128e-01  1.11354270394649e-01
 5.83637699153914e-01  1.07308615540232e-01
 6.03526114261812e-01  1.03072921183451e-01
 6.23713052918496e-01  9.86595204920906e-02
 6.44187289257573e-01  9.40741686204436e-02
 6.64938489728388e-01  8.93305116803128e-02
 6.85952696964425e-01  8.44303114940775e-02
 7.07217803846837e-01  7.93870888768201e-02
 7.28720904577667e-01  7.42148757404108e-02
 7.50447285230671e-01  6.89231193962187e-02
 7.72384947979838e-01  6.35355666474870e-02
 7.94520071668891e-01  5.80715917032048e-02
