Tower section properties (15 MW reference turbine)
20        n_secs:     number of blade or tower sections at which properties are specified (-)

      sec_loc             str_tw              tw_iner            mass_den            flp_iner            edge_iner           flp_stff            edge_stff           tor_stff           axial_stff           cg_offst            sc_offst            tc_offst      
        (-)                (deg)               (deg)              (kg/m)              (kg-m)              (kg-m)              (Nm^2)              (Nm^2)              (Nm^2)                (N)                 (m)                 (m)                 (m)        
 0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  1.208032873409e+04  1.495247351668e+05  1.495247351668e+05  3.809547392784e+12  3.809547392784e+12  3.020971082478e+12  3.077790760279e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 1.034482758621e-01  0.000000000000e+00  0.000000000000e+00  1.208032145004e+04  1.495244646954e+05  1.495244646954e+05  3.809540501792e+12  3.809540501792e+12  3.020965617921e+12  3.077788904469e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 1.034551724138e-01  0.000000000000e+00  0.000000000000e+00  1.124684364869e+04  1.393029000780e+05  1.393029000780e+05  3.549118473325e+12  3.549118473325e+12  2.814450949346e+12  2.865437872277e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 2.068965517241e-01  0.000000000000e+00  0.000000000000e+00  1.112629989856e+04  1.348716499313e+05  1.348716499313e+05  3.436220380415e+12  3.436220380415e+12  2.724922761669e+12  2.834726088804e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 2.069034482759e-01  0.000000000000e+00  0.000000000000e+00  1.044890129798e+04  1.267313834704e+05  1.267313834704e+05  3.228825056572e+12  3.228825056572e+12  2.560458269861e+12  2.662140458085e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 3.103448275862e-01  0.000000000000e+00  0.000000000000e+00  1.003303017439e+04  1.121939275275e+05  1.121939275275e+05  2.858444013440e+12  2.858444013440e+12  2.266746102658e+12  2.556186031692e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 3.103517241379e-01  0.000000000000e+00  0.000000000000e+00  9.633753703186e+03  1.077673768410e+05  1.077673768410e+05  2.745665652001e+12  2.745665652001e+12  2.177312862037e+12  2.454459542213e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 4.137931034483e-01  0.000000000000e+00  0.000000000000e+00  9.198516974065e+03  9.381125348788e+04  9.381125348788e+04  2.390095630264e+12  2.390095630264e+12  1.895345834800e+12  2.343571203583e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 4.138000000000e-01  0.000000000000e+00  0.000000000000e+00  8.777540066045e+03  8.955491950765e+04  8.955491950765e+04  2.281654000195e+12  2.281654000195e+12  1.809351622155e+12  2.236315940394e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 5.172413793103e-01  0.000000000000e+00  0.000000000000e+00  8.447148970067e+03  7.981823217494e+04  7.981823217494e+04  2.033585533119e+12  2.033585533119e+12  1.612633327764e+12  2.152139864985e+11  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
