------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA 15 MW Offshore Reference Turbine
======  Blade Properties =================================================================
60          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.332352916077596e-01  1.559455301971172e+01  5.200000000000000e+00        1
 1.983047952715948e+00  1.499444075470470e-02  0.000000000000000e+00  4.837023696371510e-01  1.559185690391905e+01  5.206543999658605e+00        2
 3.966095905431896e+00  3.348217296815525e-02  0.000000000000000e+00  5.941922528814337e-01  1.550851872361971e+01  5.224605167444535e+00        3
 5.949143858147844e+00  5.612454211884093e-02  0.000000000000000e+00  6.972831807411916e-01  1.521987287256278e+01  5.262715660594648e+00        4
 7.932191810863792e+00  8.174792181864635e-02  0.000000000000000e+00  7.655814562712286e-01  1.475203335488115e+01  5.316834431682410e+00        5
 9.915239763579740e+00  1.091176098970946e-01  0.000000000000000e+00  7.991161541808496e-01  1.414087723658992e+01  5.382111089064398e+00        6
 1.189828771629569e+01  1.370620929764632e-01  0.000000000000000e+00  7.982322132228846e-01  1.341584469194056e+01  5.454157062083383e+00        7
 1.388133566901164e+01  1.643705993405739e-01  0.000000000000000e+00  7.626676602638072e-01  1.261272243102138e+01  5.528187880411024e+00        8
 1.586438362172759e+01  1.898534815594068e-01  0.000000000000000e+00  6.919543574567223e-01  1.176372697499550e+01  5.599639307026841e+00        9
 1.784743157444354e+01  2.122675065197544e-01  0.000000000000000e+00  5.872215246455549e-01  1.090183636062260e+01  5.663773532062462e+00       10
 1.983047952715948e+01  2.305010847771503e-01  0.000000000000000e+00  4.474317608638798e-01  1.005994852953283e+01  5.716196027663607e+00       11
 2.181352747987543e+01  2.432390589372545e-01  0.000000000000000e+00  2.724120527986106e-01  9.271972397735446e+00  5.751940245604294e+00       12
 2.379657543259138e+01  2.493577661226326e-01  0.000000000000000e+00  1.011097475046319e-01  8.570277263563405e+00  5.766605057754999e+00       13
 2.577962338530732e+01  2.502380168160024e-01  0.000000000000000e+00  7.730163637828410e-03  7.967433645365507e+00  5.760715642222467e+00       14
 2.776267133802327e+01  2.498928591176113e-01  0.000000000000000e+00 -2.230683486951989e-02  7.426228684654973e+00  5.729252122918091e+00       15
 2.974571929073922e+01  2.486939058019629e-01  0.000000000000000e+00 -4.334907355878063e-02  6.897572526177749e+00  5.663590233015905e+00       16
 3.172876724345517e+01  2.468921744562893e-01  0.000000000000000e+00 -6.115187601470214e-02  6.370683363987690e+00  5.570443413624737e+00       17
 3.371181519617112e+01  2.444608861784219e-01  0.000000000000000e+00 -7.754691480462370e-02  5.861841510967386e+00  5.455051312661004e+00       18
 3.569486314888707e+01  2.415242676052022e-01  0.000000000000000e+00 -9.330866730996640e-02  5.373885916219550e+00  5.330877208125675e+00       19
 3.767791110160301e+01  2.380019294642723e-01  0.000000000000000e+00 -1.033388676805165e-01  4.911520988914757e+00  5.200541631876930e+00       20
 3.966095905431896e+01  2.343710070813779e-01  0.000000000000000e+00 -1.153228140865532e-01  4.481889072372947e+00  5.074494978771415e+00       21
 4.164400700703491e+01  2.300191245209826e-01  0.000000000000000e+00 -1.615449380907669e-01  4.087843115725224e+00  4.957518281179468e+00       22
 4.362705495975086e+01  2.231886499502005e-01  0.000000000000000e+00 -2.856589682639442e-01  3.728069181182577e+00  4.850449089973735e+00       23
 4.561010291246680e+01  2.102454835936755e-01  0.000000000000000e+00 -4.792173536838007e-01  3.402623427661638e+00  4.756100575660573e+00       24
 4.759315086518276e+01  1.900169252478802e-01  0.000000000000000e+00 -7.189221841206820e-01  3.097660177650956e+00  4.662298803163273e+00       25
