------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA 15 MW Offshore Reference Turbine
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
          BlSpn                 BlCrvAC                BlSwpAC              BlCrvAng                BlTwist                 BlChord           BlAFID
           (m)                    (m)                    (m)                  (deg)                  (deg)                    (m)               (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.389598567857099e-01  1.559455301971172e+01  5.200000000000000e+00        1
 2.340000000000000e+00  1.792725442100923e-02  0.000000000000000e+00  5.046297954993706e-01  1.559105026258913e+01  5.208280051053228e+00        2
 4.680000000000000e+00  4.121833981889853e-02  0.000000000000000e+00  6.356587272762562e-01  1.542105641229329e+01  5.235714686841762e+00        3
 7.020000000000000e+00  6.984768978988876e-02  0.000000000000000e+00  7.415071565186100e-01  1.496193989758195e+01  5.288938619667076e+00        4
 9.359999999999999e+00  1.017839984320272e-01  0.000000000000000e+00  7.976157015000783e-01  1.427347970003124e+01  5.360587950371896e+00        5
 1.170000000000000e+01  1.349959598433609e-01  0.000000000000000e+00  7.990787466481405e-01  1.341545480121729e+01  5.443298779798948e+00        6
 1.462500000000000e+01  1.752102307292030e-01  0.000000000000000e+00  7.373282924237735e-01  1.219554285879330e+01  5.551024109038494e+00        7
 1.755000000000000e+01  2.102763992553602e-01  0.000000000000000e+00  6.212788086177171e-01  1.092084655274908e+01  5.650144322056736e+00        8
 1.977698541208247e+01  2.310739725585102e-01  0.000000000000000e+00  4.445856441877686e-01  9.985666113297697e+00  5.710964180985916e+00        9
 2.200397082416493e+01  2.448365646647508e-01  0.000000000000000e+00  2.410617184027916e-01  9.137938009371762e+00  5.752111033293940e+00       10
 2.423095623624740e+01  2.498132008590583e-01  0.000000000000000e+00  5.925276794185855e-02  8.429191400183106e+00  5.767237237684651e+00       11
 2.645794164832986e+01  2.494426640121341e-01  0.000000000000000e+00 -1.881675958296881e-02  7.807344427401730e+00  5.743541765829846e+00       12
 2.868492706041233e+01  2.483504526881886e-01  0.000000000000000e+00 -3.787807380617388e-02  7.190786857513578e+00  5.678522534317045e+00       13
 3.113238085174113e+01  2.463524060253025e-01  0.000000000000000e+00 -5.611417718220102e-02  6.527913869364901e+00  5.570246949781547e+00       14
 3.357983464306991e+01  2.435564928222478e-01  0.000000000000000e+00 -7.434042279339011e-02  5.889775383943151e+00  5.435132594609128e+00       15
 3.602728843439870e+01  2.400013379322872e-01  0.000000000000000e+00 -9.166245295721896e-02  5.285977028731287e+00  5.285259548928874e+00       16
 3.847474222572749e+01  2.357255662086834e-01  0.000000000000000e+00 -1.085098923142825e-01  4.726124431212273e+00  5.132707892869862e+00       17
 4.105659048741643e+01  2.304765753302193e-01  0.000000000000000e+00 -1.351637789284613e-01  4.193762841241927e+00  4.982209010501776e+00       18
 4.363843874910536e+01  2.235441438785909e-01  0.000000000000000e+00 -3.054560449888442e-01  3.729905672799905e+00  4.854273766587426e+00       19
 4.622028701079431e+01  2.029479360582818e-01  0.000000000000000e+00 -6.254266809353917e-01  3.310222442869688e+00  4.731775648083770e+00       20
 4.880213527248324e+01  1.671796180609743e-01  0.000000000000000e+00 -9.326186283602629e-01  2.922547252487191e+00  4.608268593859038e+00       21
 5.138398353417219e+01  1.189007870845858e-01  0.000000000000000e+00 -1.169969330429230e+00  2.563301927632577e+00  4.484854333759138e+00       22
 5.368869775367514e+01  6.740384085217543e-02  0.000000000000000e+00 -1.354372395858388e+00  2.263719441220331e+00  4.375663062640865e+00       23
 5.599341197317808e+01  9.952077050435174e-03  0.000000000000000e+00 -1.478915777492334e+00  1.981394657871398e+00  4.268207311316015e+00       24
 5.829812619268102e+01 -5.156128280860145e-02  0.000000000000000e+00 -1.556382281472082e+00  1.713782385535885e+00  4.163270751576230e+00       25
 6.060284041218398e+01 -1.152430172129005e-01  0.000000000000000e+00 -1.640692961627120e+00  1.458337432163901e+00  4.061637055213153e+00       26
 6.290755463168692e+01 -1.835365059615016e-01  0.000000000000000e+00 -1.899144547865439e+00  1.215936980920844e+00  3.963881082800871e+00       27
 6.526010287719268e+01 -2.695858882006038e-01  0.000000000000000e+00 -2.277051481712027e+00  9.889697444231197e-01  3.867510327247572e+00       28
 6.761265112269844e+01 -3.704774461314465e-01  0.000000000000000e+00 -2.606235497256792e+00  7.780637612835216e-01  3.773825710679341e+00       29
 6.996519936820421e+01 -4.835346515307841e-01  0.000000000000000e+00 -2.870235630018063e+00  5.777472245660690e-01  3.682080441290148e+00       30
 7.231774761370995e+01 -6.060809761753684e-01  0.000000000000000e+00 -3.069014892419602e+00  3.825483273347862e-01  3.591527727273969e+00       31
 7.467029585921573e+01 -7.354398918419541e-01  0.000000000000000e+00 -3.200484304171921e+00  1.869952626536929e-01  3.501420776824777e+00       32
 7.690225798158134e+01 -8.620339356365431e-01  0.000000000000000e+00 -3.269965674337562e+00 -3.833472860754639e-03  3.415666014633683e+00       33
 7.913422010394696e+01 -9.900652127417253e-01  0.000000000000000e+00 -3.307799135370808e+00 -2.045790209358274e-01  3.329002552231415e+00       34
 8.136618222631259e+01 -1.119602013264455e+00  0.000000000000000e+00 -3.426836029311493e+00 -4.287123108794662e-01  3.241574427966111e+00       35
 8.359814434867820e+01 -1.256891462088912e+00  0.000000000000000e+00 -3.624394274229770e+00 -6.982875482075050e-01  3.155331921222472e+00       36
 8.583010647104382e+01 -1.401790922133047e+00  0.000000000000000e+00 -3.810695931402476e+00 -9.950116824866293e-01  3.069824283805562e+00       37
 8.806206859340944e+01 -1.553564617527122e+00  0.000000000000000e+00 -3.978104312123790e+00 -1.297767397727571e+00  2.984393491136261e+00       38
 9.029403071577507e+01 -1.711476772401401e+00  0.000000000000000e+00 -4.157815849668693e+00 -1.585437377941072e+00  2.898381518635448e+00       39
 9.360000000000001e+01 -1.955086254902600e+00  0.000000000000000e+00 -4.281933476876795e+00 -1.938782852553782e+00  2.768510020114478e+00       40
 9.579375000000002e+01 -2.122109410024033e+00  0.000000000000000e+00 -4.411910809509338e+00 -2.095783984365177e+00  2.679782366324228e+00       41
 9.798750000000000e+01 -2.292600381357422e+00  0.000000000000000e+00 -4.510373198370587e+00 -2.167542909454077e+00  2.588291198758025e+00       42
 1.001812500000000e+02 -2.467140579562090e+00  0.000000000000000e+00 -4.646225793324506e+00 -2.165625435337683e+00  2.493863734798128e+00       43
 1.023750000000000e+02 -2.648001446003153e+00  0.000000000000000e+00 -4.809898658888796e+00 -2.145397376546820e+00  2.397202149615234e+00       44
 1.045687500000000e+02 -2.835032456156889e+00  0.000000000000000e+00 -4.968536125415881e+00 -2.104164333288046e+00  2.298391749169624e+00       45
 1.067625000000000e+02 -3.027996990460721e+00  0.000000000000000e+00 -5.121007021844496e+00 -2.037133386457388e+00  2.197491228168706e+00       46
 1.089562500000000e+02 -3.226658429352078e+00  0.000000000000000e+00 -5.267308083594560e+00 -1.939511616950870e+00  2.094559281319885e+00       47
 1.111500000000000e+02 -3.430780153268391e+00  0.000000000000000e+00 -5.429816590644049e+00 -1.806506105664517e+00  1.989654603330569e+00       48
 1.140750000000000e+02 -3.711027256445497e+00  0.000000000000000e+00 -5.583859639041403e+00 -1.565839990136840e+00  1.846814454102031e+00       49
 1.170000000000000e+02 -3.999999999999996e+00  0.000000000000000e+00 -5.669733651568260e+00 -1.242387706272970e+00  1.700710701632228e+00       50
