------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -4.389598567857100e-01  1.559455301971172e+01  5.200000000000000e+00        1
 2.340000000000000e+00 -1.792725442100923e-02  0.000000000000000e+00 -5.869793350597068e-01  1.559105026258913e+01  5.208280051053228e+00        2
 7.020000000000000e+00 -7.191669069639042e-02  0.000000000000000e+00 -7.499180139115884e-01  1.523558522408377e+01  5.296652397296416e+00        3
 1.170000000000000e+01 -1.404324766376809e-01  0.000000000000000e+00 -7.940458178831850e-01  1.434665133075457e+01  5.466653556694548e+00        4
 1.755000000000000e+01 -2.178442770759801e-01  0.000000000000000e+00 -5.454501042069387e-01  1.284048136602283e+01  5.687866308822985e+00        5
 2.340000000000000e+01 -2.518136268534185e-01  0.000000000000000e+00 -1.681959275246993e-01  1.132043088261142e+01  5.791825891617470e+00        6
 2.868492706041233e+01 -2.505316182877757e-01  0.000000000000000e+00  2.362122490448157e-02  9.943664725340128e+00  5.710818534993682e+00        7
 3.246810313937231e+01 -2.480751368727473e-01  0.000000000000000e+00  4.660426435130707e-02  8.841596477944472e+00  5.573907567008675e+00        8
 3.625127921833229e+01 -2.443771643252701e-01  0.000000000000000e+00  6.512268452100681e-02  7.699727400092747e+00  5.395476256277355e+00        9
 4.003445529729226e+01 -2.394751830428232e-01  0.000000000000000e+00  8.307344416607509e-02  6.568770088049213e+00  5.197013181631207e+00       10
 4.381763137625224e+01 -2.334066754228855e-01  0.000000000000000e+00  1.106049667714771e-01  5.499437138078132e+00  5.000006921901716e+00       11
 4.760080745521221e+01 -2.248689482320411e-01  0.000000000000000e+00  4.276310128205342e-01  4.537252347815486e+00  4.824834998682065e+00       12
 5.138398353417219e+01 -1.769352071159934e-01  0.000000000000000e+00  1.081854290154953e+00  3.579810637749711e+00  4.655010922989121e+00       13
 5.514718682733775e+01 -8.238728801677941e-02  0.000000000000000e+00  1.705509110022943e+00  2.615795504197820e+00  4.479597736966679e+00       14
 5.891039012050331e+01  4.706836806889191e-02  0.000000000000000e+00  2.147299647248220e+00  1.695562849626329e+00  4.299147758413322e+00       15
 6.267359341366887e+01  1.996172038558590e-01  0.000000000000000e+00  2.409166816138427e+00  8.743946885623053e-01  4.115090175367921e+00       16
 6.643679670683443e+01  3.634446620589596e-01  0.000000000000000e+00  2.491021801648270e+00  2.075730355328187e-01  3.928854175869346e+00       17
 7.020000000000000e+01  5.267361853930337e-01  0.000000000000000e+00  2.606277167672542e+00 -2.496200949350684e-01  3.741868947956467e+00       18
 7.467029585921573e+01  7.378418950128698e-01  0.000000000000000e+00  2.925915224192003e+00 -5.950952171985693e-01  3.517258175370822e+00       19
 7.857622957335556e+01  9.542979897191765e-01  0.000000000000000e+00  3.353591466331955e+00 -8.299743805011066e-01  3.317356794917627e+00       20
 8.248216328749538e+01  1.194818939424565e+00  0.000000000000000e+00  3.666733336159238e+00 -1.025475251288393e+00  3.114915930988210e+00       21
 8.638809700163523e+01  1.453889525643644e+00  0.000000000000000e+00  3.898891079541397e+00 -1.203626353892378e+00  2.910757849000628e+00       22
 9.029403071577507e+01  1.725994529891021e+00  0.000000000000000e+00  4.043269209347880e+00 -1.386456212645010e+00  2.705704814372940e+00       23
 9.360000000000001e+01  1.962399395003346e+00  0.000000000000000e+00  4.190132868457453e+00 -1.561190330987338e+00  2.532058914413915e+00       24
 9.711000000000001e+01  2.224013171949474e+00  0.000000000000000e+00  4.415076200440294e+00 -1.762171896126357e+00  2.347415784936850e+00       25
 1.006200000000000e+02  2.502808677667688e+00  0.000000000000000e+00  4.687783070285798e+00 -1.964306617747671e+00  2.161917779560723e+00       26
 1.041300000000000e+02  2.797729678726277e+00  0.000000000000000e+00  4.943290306777417e+00 -2.167585096862907e+00  1.975570578516111e+00       27
 1.076400000000000e+02  3.107719941693530e+00  0.000000000000000e+00  5.181583632715974e+00 -2.371997934483689e+00  1.788379862033593e+00       28
 1.111500000000000e+02  3.431723233137737e+00  0.000000000000000e+00  5.470259867189550e+00 -2.577535731621643e+00  1.600351310343746e+00       29
 1.170000000000000e+02  3.999999999999998e+00  0.000000000000000e+00  5.574579008122011e+00 -2.922573108773151e+00  1.285123962631137e+00       30
