Coordinate system:,Beamdyn coordinates
section in r/R,Mass per unit length [kg/m],"Mass center (chordwise), m","Mass center (thickness), m","Neutral axes (chordwise), m","Neutral axes (thickness), m","Geometric center (chordwise), m","Geometric center (thickness), m","Shear center (chordwise), m","Shear center (thickness), m"
0.0,3117.8762898,-0.023638096072993206,0.0055450143293238234,-0.023627680488,-0.0064631796163,-0.023638355761,2.226059809e-05,-0.023844311188,-0.002984154983
0.1,1654.4474049,0.2755030157501745,0.013376076123337148,0.22450996814,0.013791593527,0.20880430643,0.0084020874021,0.10392615409,0.014775418753
0.2,586.84452245,0.5267859343721476,0.024500828887305568,0.15638049398,0.012100200789,0.58324875109,0.028741290996,0.032327613492,0.01421702725
0.3,427.91815443,0.5990293701407614,0.024736853067381555,0.1515022157,0.0085664785623,0.64170336666,0.033362720351,0.098657786425,0.063636024477
0.4,401.74932289,0.6260077735560015,0.015896248789319275,0.17699506936,0.0040352578205,0.63405455753,0.024845129398,0.056233910758,0.022794364042
0.48,354.60236827,0.47325113887062986,0.01608019761914942,0.11794243162,0.0051453748326,0.55311111326,0.024046769747,0.026459952966,0.036098434956
0.6,292.12431159,0.2943947651666248,0.023740424347952163,0.061157977359,0.017886822375,0.39498326249,0.029657152344,-0.03216055587,0.012473966631
0.7,235.5725499,0.18810681305954655,0.031461812563671705,0.03483067311,0.029136700205,0.24226288544,0.034466033279,-0.13650766574,-0.0021009316117
0.8,166.27884615,0.12617935306739558,0.036980798243288746,0.018007149015,0.036856544866,0.12205668748,0.037985673816,-0.17828599884,0.012999430442
0.9,80.822074496,0.06947628889033163,0.03826111936229804,0.0050741895881,0.038924238374,0.046468325717,0.038422870848,-0.078038040647,0.0080177172426
1.0,13.41781693,0.13102743783671522,0.029201514625225994,0.070971188496,0.031052560427,0.12380075016,0.029424868657,-0.14337691082,0.039772661623
