Coordinate system:,Beamdyn coordinates
section in r/R,Mass per unit length [kg/m],"Mass center (chordwise), m","Mass center (thickness), m","Neutral axes (chordwise), m","Neutral axes (thickness), m","Geometric center (chordwise), m","Geometric center (thickness), m","Shear center (chordwise), m","Shear center (thickness), m"
0.0,3118.7568377,-0.023621936819008454,0.0039552719262644165,-0.0235265624,-0.0042537162922,-0.02361044284,9.7097416439e-05,-0.023422858961,0.0015931429174
0.1,1641.4252843,0.28509801521643346,0.012988268706419852,0.2446746444,0.013385617944,0.21225204659,0.008371674551,0.11093108091,0.011652974733
0.2,594.40320049,0.6087775808099603,0.02623472069320116,0.2571046217,0.013716364587,0.48498201911,0.025947276462,-0.067532853315,0.021179428534
0.3,431.3459318,0.7315776088652565,0.028259943452189525,0.24625404738,0.012311581027,0.62461858838,0.035211707336,0.011482040245,0.076574892371
0.4,400.65419197,0.7236734766816322,0.017318813431058684,0.24481247312,0.0054160148758,0.63154358807,0.025489267543,0.0022937125763,0.027260463813
0.501,326.40205232,0.5051779770622982,0.015682606457638217,0.14212762848,0.0045155621562,0.53469010101,0.022719283334,-0.032465116475,0.047169798444
0.6,269.02875118,0.3356855077455146,0.02258409639025854,0.079274432431,0.016125002926,0.41026300453,0.028317438309,-0.086609129254,-0.0060656105135
0.7,214.00956166,0.21205647290236124,0.032466537603299345,0.039185731526,0.029767999113,0.27230218072,0.035727121145,-0.14530903331,-0.012916041421
0.8,128.31808389,0.19330758001548584,0.03674461500408553,0.037138299198,0.036100766773,0.19041136029,0.038128272256,-0.19354469549,0.025551758738
0.9,54.785403695,0.18458059448274,0.03192832597416165,0.048184402604,0.031900462016,0.13230304858,0.03177401547,-0.099924885701,0.0097531542166
1.0,26.385141246,0.1743458248986021,0.023944980143920203,0.13357077074,0.024001969728,0.16944468545,0.023954798208,-0.27608948381,0.027784798658
