# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
3.0000e+00	5.0000e+00	3.8603e+00	3.9456e+04	4.1235e+04	2.0502e+05	7.8753e+04	6.0258e+06	5.2392e-02	5.4755e-02	8.1672e-01	2.6057e-03
3.5495e+00	5.0000e+00	3.8544e+00	2.9155e+05	3.0469e+05	2.7778e+05	5.8192e+05	7.8968e+06	2.3373e-01	2.4427e-01	7.9044e-01	1.3754e-02
4.0679e+00	5.0000e+00	3.6639e+00	6.0995e+05	6.3746e+05	3.6183e+05	1.2175e+06	1.0067e+07	3.2487e-01	3.3952e-01	7.8393e-01	2.1909e-02
4.5539e+00	5.0000e+00	3.3105e+00	9.8648e+05	1.0310e+06	4.5478e+05	1.9690e+06	1.2474e+07	3.7450e-01	3.9139e-01	7.8624e-01	2.8274e-02
5.0064e+00	5.0000e+00	2.8757e+00	1.4104e+06	1.4740e+06	5.5106e+05	2.8151e+06	1.4969e+07	4.0298e-01	4.2115e-01	7.8824e-01	3.3446e-02
5.4244e+00	5.0000e+00	2.3891e+00	1.8693e+06	1.9536e+06	6.4788e+05	3.7311e+06	1.7483e+07	4.1989e-01	4.3883e-01	7.8942e-01	3.7760e-02
5.8069e+00	5.0000e+00	1.8869e+00	2.3493e+06	2.4552e+06	7.4210e+05	4.6891e+06	1.9932e+07	4.3015e-01	4.4954e-01	7.8902e-01	4.1410e-02
6.1530e+00	5.0000e+00	1.3907e+00	2.8355e+06	2.9634e+06	8.3148e+05	5.6597e+06	2.2261e+07	4.3641e-01	4.5608e-01	7.8740e-01	4.4517e-02
6.4619e+00	5.0000e+00	9.1488e-01	3.3127e+06	3.4621e+06	9.1431e+05	6.6121e+06	2.4426e+07	4.4016e-01	4.6001e-01	7.8503e-01	4.7154e-02
6.7330e+00	5.0000e+00	4.6963e-01	3.7657e+06	3.9355e+06	9.8925e+05	7.5162e+06	2.6392e+07	4.4233e-01	4.6227e-01	7.8237e-01	4.9373e-02
6.9655e+00	5.0000e+00	6.9248e-02	4.1802e+06	4.3687e+06	1.0549e+06	8.3435e+06	2.8124e+07	4.4347e-01	4.6346e-01	7.7955e-01	5.1210e-02
7.1589e+00	5.0861e+00	0.0000e+00	4.5475e+06	4.7452e+06	1.1090e+06	8.9092e+06	2.9555e+07	4.4438e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.3128e+00	5.1954e+00	0.0000e+00	4.8557e+06	5.0579e+06	1.1572e+06	9.2965e+06	3.0840e+07	4.4516e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.4269e+00	5.2765e+00	0.0000e+00	5.0919e+06	5.2983e+06	1.1936e+06	9.5888e+06	3.1810e+07	4.4563e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.5009e+00	5.3290e+00	0.0000e+00	5.2489e+06	5.4581e+06	1.2175e+06	9.7806e+06	3.2446e+07	4.4591e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.5345e+00	5.3529e+00	0.0000e+00	5.3212e+06	5.5319e+06	1.2285e+06	9.8686e+06	3.2738e+07	4.4603e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.5412e+00	5.3577e+00	0.0000e+00	5.3358e+06	5.5467e+06	1.2307e+06	9.8862e+06	3.2796e+07	4.4605e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.5883e+00	5.3912e+00	0.0000e+00	5.4383e+06	5.6513e+06	1.2461e+06	1.0010e+07	3.3207e+07	4.4622e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.6757e+00	5.4532e+00	0.0000e+00	5.6317e+06	5.8487e+06	1.2749e+06	1.0242e+07	3.3976e+07	4.4649e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.8031e+00	5.5437e+00	0.0000e+00	5.9214e+06	6.1448e+06	1.3176e+06	1.0585e+07	3.5113e+07	4.4684e-01	4.6369e-01	7.7583e-01	5.1767e-02
7.9702e+00	5.6625e+00	0.0000e+00	6.3156e+06	6.5482e+06	1.3746e+06	1.1043e+07	3.6634e+07	4.4722e-01	4.6369e-01	7.7583e-01	5.1767e-02
8.1767e+00	5.8092e+00	0.0000e+00	6.8250e+06	7.0705e+06	1.4468e+06	1.1623e+07	3.8557e+07	4.4759e-01	4.6369e-01	7.7583e-01	5.1767e-02
8.4221e+00	5.9836e+00	0.0000e+00	7.4634e+06	7.7264e+06	1.5350e+06	1.2331e+07	4.0906e+07	4.4791e-01	4.6369e-01	7.7583e-01	5.1767e-02
8.7059e+00	6.1851e+00	0.0000e+00	8.2390e+06	8.5339e+06	1.6401e+06	1.3176e+07	4.3709e+07	4.4767e-01	4.6369e-01	7.7583e-01	5.1767e-02
9.0273e+00	6.4135e+00	0.0000e+00	9.1687e+06	9.5144e+06	1.7635e+06	1.4166e+07	4.6995e+07	4.4684e-01	4.6369e-01	7.7583e-01	5.1767e-02
9.3856e+00	6.6681e+00	0.0000e+00	1.0286e+07	1.0693e+07	1.9062e+06	1.5313e+07	5.0800e+07	4.4604e-01	4.6369e-01	7.7583e-01	5.1767e-02
9.7800e+00	6.9483e+00	0.0000e+00	1.1618e+07	1.2098e+07	2.0698e+06	1.6627e+07	5.5160e+07	4.4528e-01	4.6369e-01	7.7583e-01	5.1767e-02
1.0210e+01	7.2535e+00	0.0000e+00	1.3195e+07	1.3764e+07	2.2556e+06	1.8120e+07	6.0112e+07	4.4454e-01	4.6369e-01	7.7583e-01	5.1767e-02
1.0659e+01	7.4992e+00	2.3852e-18	1.5000e+07	1.5665e+07	2.4376e+06	1.9947e+07	6.4922e+07	4.4407e-01	4.6376e-01	7.6922e-01	5.2281e-02
1.0673e+01	7.4992e+00	5.4761e-01	1.5000e+07	1.5665e+07	2.3600e+06	1.9947e+07	6.2704e+07	4.4228e-01	4.6188e-01	7.4270e-01	5.2140e-02
1.1170e+01	7.4992e+00	3.7438e+00	1.5000e+07	1.5665e+07	1.9472e+06	1.9947e+07	5.0659e+07	3.8584e-01	4.0294e-01	5.5949e-01	4.7605e-02
1.1699e+01	7.4992e+00	5.4014e+00	1.5000e+07	1.5665e+07	1.7623e+06	1.9947e+07	4.5054e+07	3.3584e-01	3.5072e-01	4.6163e-01	4.3398e-02
1.2259e+01	7.4992e+00	6.7606e+00	1.5000e+07	1.5665e+07	1.6258e+06	1.9947e+07	4.0798e+07	2.9191e-01	3.0485e-01	3.8786e-01	3.9526e-02
1.2848e+01	7.4992e+00	7.9749e+00	1.5000e+07	1.5665e+07	1.5148e+06	1.9947e+07	3.7250e+07	2.5357e-01	2.6481e-01	3.2901e-01	3.5984e-02
1.3465e+01	7.4992e+00	9.1026e+00	1.5000e+07	1.5665e+07	1.4207e+06	1.9947e+07	3.4162e+07	2.2028e-01	2.3004e-01	2.8093e-01	3.2761e-02
1.4109e+01	7.4992e+00	1.0172e+01	1.5000e+07	1.5665e+07	1.3389e+06	1.9947e+07	3.1408e+07	1.9148e-01	1.9996e-01	2.4114e-01	2.9839e-02
1.4778e+01	7.4992e+00	1.1201e+01	1.5000e+07	1.5665e+07	1.2667e+06	1.9947e+07	2.8912e+07	1.6663e-01	1.7402e-01	2.0795e-01	2.7199e-02
1.5471e+01	7.4992e+00	1.2199e+01	1.5000e+07	1.5665e+07	1.2023e+06	1.9947e+07	2.6627e+07	1.4524e-01	1.5167e-01	1.8010e-01	2.4818e-02
1.6185e+01	7.4992e+00	1.3171e+01	1.5000e+07	1.5665e+07	1.1445e+06	1.9947e+07	2.4519e+07	1.2683e-01	1.3246e-01	1.5663e-01	2.2674e-02
1.6921e+01	7.4992e+00	1.4123e+01	1.5000e+07	1.5665e+07	1.0923e+06	1.9947e+07	2.2561e+07	1.1101e-01	1.1593e-01	1.3679e-01	2.0747e-02
1.7674e+01	7.4992e+00	1.5058e+01	1.5000e+07	1.5665e+07	1.0451e+06	1.9947e+07	2.0736e+07	9.7406e-02	1.0172e-01	1.1995e-01	1.9015e-02
1.8445e+01	7.4992e+00	1.5977e+01	1.5000e+07	1.5665e+07	1.0023e+06	1.9947e+07	1.9028e+07	8.5700e-02	8.9498e-02	1.0562e-01	1.7459e-02
1.9231e+01	7.4992e+00	1.6881e+01	1.5000e+07	1.5665e+07	9.6327e+05	1.9947e+07	1.7425e+07	7.5617e-02	7.8968e-02	9.3384e-02	1.6062e-02
